"Product SKU","Product Name","Price","Quantity"
,"Product #1479 Variation",,
,"Product #1479 Variation",,
"1","F-0000A","120","500"
"2","F-00074","60","48"
"3","F-00355","60","23"
"4","F-00608","60","377"
"5","F-00102","90","165"
"6","F-00178","90","166"
"7","F-00726","90","344"
"8","F-00372","90","366"
"9","F-00523","90","347"
"10","F-00432","60","74"
"11","F-00597","60",0
"12","F-00744","60","98"
"13","F-00365","30","74"
"14","F-00052","30","305"
"15","F-00149","60","63"
"16","F-00555","60","61"
"17","F-00689","60","63"
"18","F-00894","60","60"
"19","F-01106","60","60"
"20","F-00976","30","85"
"21","F-00148","60","136"
"22","F-00506","60","131"
"23","F-00606","30",0
"24","F-00556","60","495"
"25","F-00356","60","76"
"26","F-00414","30","142"
"27","F-00473","30","142"
"28","F-00154","30","36"
"29","F-00465","60","329"
"30","F-00165","60","306"
"31","F-00122","90","33"
"32","F-00687","90","40"
"33","F-00781X","60","58"
"34","F-00519","60","34"
"35","F-00982","60","30"
"36","F-00182","30","16"
"37","F-00080","30","116"
"38","F-00632","30","120"
"39","F-00782","30","109"
"40","F-00152","30","10"
"41","F-00771","30","6"
"42","F-00855","30","22"
"43","F-01091","30","17"
"44","F-00051","30","66"
"45","F-00183","30","74"
"46","F-00517","30","70"
"47","F-00648","30","73"
"48","F-00117","30","152"
"49","F-00959","30","149"
"50","F-00164","60","75"
"51","F-00741","60","79"
"52","F-00421X","60","77"
"53","F-00185","30","374"
"54","F-00464","60","384"
"55","F-00484X","60","375"
"56","F-00114X","60","78"
"57","F-00366X","60","80"
"58","F-00403X","60","80"
"59","F-00600X","60","80"
"60","F-00779X","60","61"
"61","F-01072X","60","76"
"62","F-00561X","60","29"
"63","F-00136","30","87"
"64","F-00657","30","90"
"65","F-00189","30","13"
"66","F-00395","30","40"
"67","F-01140","30","49"
"68","F-00313X","60","30"
"69","F-00993X","30","249"
"70","F-00163X","60","266"
"71","F-00307","60","55"
"72","F-00313","30","163"
"73","F-00484","30","964"
"74","F-00459","60","496"
"75","F-00993","30","381"
"76","F-00110","30","390"
"77","F-00740","30","341"
"78","F-00111","30","99"
"79","F-00315","30",0
"80","F-00769","30",0
"81","F-00114","30","140"
"82","F-00403","30","145"
"83","F-00600","30","145"
"84","F-00779","30","112"
"85","F-01072","30","141"
"86","F-00366","30","148"
"87","F-00187","30","20"
"88","F-00418","30","18"
"89","F-01051","30","20"
"90","F-01052","30","20"
"91","F-00030","30","21"
"92","F-00039","30","80"
"93","F-00040","30","87"
"94","F-00011","30","255"
"95","F-00037","30","261"
"96","F-00849","30","209"
"97","F-01100","30","395"
"98","F-01105","30","399"
"99","F-00140","60","164"
"100","F-00886","60","209"
"101","F-00184","60","229"
"102","F-00308","60","300"
"103","F-00607","30","400"
"104","F-00144","60","122"
"105","F-00143","60","4"
"106","F-00145","60","31"
"107","F-00421","60","29"
"108","F-01071","60","23"
"109","F-00529","60","47"
"110","F-00087","30","14"
"111","F-00677","30","49"
"112","F-00688","30","70"
"113","F-00895","30","63"
"114","F-00868","30","253"
"115","F-00368","30","234"
"116","F-00561","30","255"
"117","F-00146","60","68"
"118","F-00158","60","48"
"119","F-00163","60","40"
"120","F-00641","60","176"
"121","F-00436","60","74"
"122","F-00915","60","75"
"123","F-00063X","60","55"
"124","F-00297X","60","50"
"125","F-00558X","60","60"
"126","F-00663X","60","40"
"127","F-00681X","60","60"
"128","F-00887X","60","55"
"129","F-00978X","60","60"
"130","F-01159X","60","60"
"131","F-00138","60",0
"132","F-00063","30","164"
"133","F-00297","30","178"
"134","F-00558","30","168"
"135","F-00663","30","76"
"136","F-00681","30","177"
"137","F-00887","30","165"
"138","F-00978","30","187"
"139","F-01159","30","185"
"140","F-00054","30","99"
"141","F-00666","30","100"
"142","F-00884","30","243"
"143","F-00058","30","320"
"144","F-00217","90","95"
"145","F-00153","60","53"
"146","F-00502","60","50"
"147","F-00609","60","144"
"148","F-00640","60","144"
"149","F-00562","60","487"
"150","F-00166","60","50"
"151","F-00216","90","27"
"152","F-01153","60","47"
"153","F-01167","60","50"
"154","F-00100A","60","16"
"155","F-00186A","60","95"
"156","F-00100","60","162"
"157","F-00186","60","153"
"158","F-00531X","90","100"
"159","F-00659","90","90"
"160","F-00667X","90","100"
"161","F-00108","60","103"
"162","F-00420","60","123"
"163","F-00109","60","417"
"164","F-00104","60","105"
"165","F-00191","60","118"
"166","F-00547X","120","85"
"167","F-01148","60","224"
"168","F-00168","60","154"
"169","F-00667","60","163"
"170","F-00720","60","162"
"171","F-00531","60","75"
"172","F-00493","60","43"
"173","F-00442","60","375"
"174","F-00605","60","380"
"175","F-00547","90","63"
"176","F-00497XX","120","74"
"177","F-00494XX","120","71"
"178","F-00576","90","52"
"179","F-00027X","120","71"
"180","F-00284X","120","81"
"181","F-00796X","120","89"
"182","F-00497X","120","322"
"183","F-00283X","120","88"
"184","F-00381X","120","30"
"185","F-00219X","120","30"
"186","F-00670X","120","29"
"187","F-00806X","120","43"
"188","F-00948X","120","45"
"189","F-00494X","120","334"
"190","F-00670AX","120","70"
"191","F-00220X","120","83"
"192","F-00807X","120","42"
"193","F-00949X","120","42"
"194","F-00221X","120","14"
"195","F-00222X","120","10"
"196","F-00512X","120","8"
"197","F-00672X","120","18"
"198","F-00797X","120","12"
"199","F-00123X","120","166"
"200","F-00027","60","314"
"201","F-00284","90","224"
"202","F-00425","60","100"
"203","F-00069","60","108"
"204","F-00193","60","91"
"205","F-00680","60","107"
"206","F-00759","60","112"
"207","F-00890","60","113"
"208","F-00098","90",0
"209","F-00280","90","167"
"210","F-00796","90","169"
"211","F-00497","90","340"
"212","F-00018XX","120","55"
"213","F-00035XX","120","60"
"214","F-00441XX","120","55"
"215","F-00642XX","120","52"
"216","F-00024XX","120","22"
"217","F-00396XX","120","28"
"218","F-00283","90","57"
"219","F-01010","60","90"
"220","F-00304","60","20"
"221","F-00889","60","20"
"222","F-00333","60","60"
"223","F-00381","90","76"
"224","F-00219","90","145"
"225","F-00670","90","150"
"226","F-00806","90","46"
"227","F-00948","90","52"
"228","F-00494","90","288"
"229","F-00670A","120","75"
"230","F-00220","90","22"
"231","F-00223XX","120","281"
"232","F-00807","90","39"
"233","F-00949","90","39"
"234","F-00221","90","20"
"235","F-00221M","90","70"
"236","F-00222","90","24"
"237","F-00222M","90","70"
"238","F-00512","90","70"
"239","F-00672","90","70"
"240","F-00797","90","67"
"241","F-00513","90","94"
"242","F-00123","90","43"
"243","F-00748","60","73"
"244","F-00526","60",0
"245","F-00938","60",0
"246","F-0000B","120","500"
"247","F-00440X","120","30"
"248","F-00739X","120","19"
"249","F-00018X","120","34"
"250","F-00035X","120","35"
"251","F-00441X","120","27"
"252","F-00642X","120","31"
"253","F-00016X","120","21"
"254","F-00034X","120","25"
"255","F-00024X","120","5"
"256","F-00396X","120","13"
"257","F-01179X","120","16"
"258","F-00402X","120","35"
"259","F-00499X","120","39"
"260","F-00225X","120","27"
"261","F-00292X","120","26"
"262","F-00926X","120","27"
"263","F-00901","90","13"
"264","F-00019","60","67"
"265","F-00865","60","78"
"266","F-00440","90","106"
"267","F-00739","90","77"
"268","F-00089X","60","296"
"269","F-00028XX","120","235"
"270","F-00097","60","2"
"271","F-00018","90","41"
"272","F-00035","90","41"
"273","F-00441","90","59"
"274","F-00642","90","55"
"275","F-00016","90","90"
"276","F-00034","90","110"
"277","F-00012","90","86"
"278","F-00024","90","87"
"279","F-00396","90","88"
"280","F-01179","90","58"
"281","F-00012M","90","75"
"282","F-00024M","90","75"
"283","F-00396M","90","75"
"284","F-01179M","90","70"
"285","F-00194","60","312"
"286","F-00916","60","237"
"287","F-00226XM","120","35"
"288","F-00226XX","120","60"
"289","F-00360XX","120","35"
"290","F-00223","90","265"
"291","F-00195","60","516"
"292","F-00402","90","147"
"293","F-00499","90","170"
"294","F-00090XX","120","353"
"295","F-00224","90","71"
"296","F-00225","90","164"
"297","F-00292","90","142"
"298","F-00225M","90","80"
"299","F-00292M","90","95"
"300","F-00926","90","86"
"301","F-00079","90","60"
"302","F-00082","60","161"
"303","F-00032","60","103"
"304","F-00036","60","110"
"305","F-00118","60","112"
"306","F-00758","60","74"
"307","F-01065","60","92"
"308","F-00296","60","278"
"309","F-00086","60","244"
"310","F-00130","60","250"
