"Product SKU","Product Name","Price","Quantity","size","tip"
"3501","3501","","1","",""
"3500","3500","","3","",""
"3499","3499","","3","",""
"3498","3498","","3","",""
"3497","3497","","3","",""
"3496","3496","","3","",""
"3495","3495","","4","",""
"3494","3494","","3","",""
"3493","3493","","3","",""
"3492","3492","","3","",""
"3491","3491","","3","",""
"3490","3490","","3","",""
"3489","3489","","1","",""
"3488","3488","","1","",""
"3487","3487","","3","",""
"3486","3486","","18","",""
"3485","3485","","1","",""
"3484","3484","","3","",""
"3483","3483","","3","",""
"3482","3482","","3","",""
"3481","3481","","3","",""
"3480","3480","","3","",""
"3479","3479","","1","",""
"3478","3478","","3","",""
"3477","3477","","3","",""
"3476","3476","","3","",""
"3475","3475","","3","",""
"3474","3474","","3","",""
"3473","3473","","3","",""
"3472","3472","","3","",""
"3471","3471","","1","",""
"3470","3470","","18","",""
"3469","3469","","3","",""
"3468","3468","","18","",""
"3467","3467","","3","",""
"3466","3466","","18","",""
"3465","3465","","3","",""
"3464","3464","","3","",""
"3463","3463","","18","",""
"3462","3462","","17","",""
"3461","3461","","12","",""
"3460","3460","","18","",""
"3459","3459","","3","",""
"3458","3458","","2","",""
"3457","3457","","5","",""
"3456","3456","","3","",""
"3455","3455","","3","",""
"3454","3454","","1","",""
"3453","3453","","1","",""
"3452","3452","","1","",""
"3451","3451","","1","",""
"3450","3450","","3","",""
"3449","3449","","6","",""
"3448","3448","","3","",""
"3447","3447","","8","",""
"3446","3446","","18","",""
"3445","3445","","1","",""
"3444","3444","","1","",""
"3443","3443","","1","",""
"3442","3442","","1","",""
"3441","3441","","1","",""
"3440","3440","","3","",""
"3439","3439","","3","",""
"3438","3438","","3","",""
"3437","3437","","3","",""
"3436","3436","","2","",""
"3435","3435","","21","",""
"3434","3434","","18","",""
"3433","3433","","3","",""
"3432","3432","","3","",""
"3431","3431","","3","",""
"3430","3430","","3","",""
"3429","3429","","3","",""
"3428","3428","","1","",""
"3427","3427","","1","",""
"3426","3426","","3","",""
"3425","3425","","1","",""
"3424","3424","","5","",""
"3423","3423","","3","",""
"3422","3422","","3","",""
"3421","3421","","3","",""
"3420","3420","","3","",""
"3419","3419","","3","",""
"3418","3418","","1","",""
"3417","3417","","3","",""
"3416","3416","","3","",""
"3415","3415","","1","",""
"3414","3414","","1","",""
"3413","3413","","1","",""
"3412","3412","","1","",""
"3411","3411","","2","",""
"3410","3410","","1","",""
"3409","3409","","1","",""
"3408","3408","","1","",""
"3407","3407","","1","",""
"3406","3406","","1","",""
"3405","3405","","1","",""
"3404","3404","","1","",""
"3403","3403","","2","",""
"3402","3402","","1","",""
"3401","3401","","1","",""
"3400","3400","","1","",""
"3399","3399","","1","",""
"3398","3398","","1","",""
"3397","3397","","1","",""
"3396","3396","","1","",""
"3395","3395","","1","",""
"3394","3394","","1","",""
"3393","3393","","1","",""
"3392","3392","","1","",""
"3391","3391","","1","",""
"3390","3390","","1","",""
"3389","3389","","1","",""
"3388","3388","","1","",""
"3387","3387","","6","",""
"3386","3386","","2","",""
"3385","3385","","3","",""
"3384","3384","","1","",""
"3383","3383","","1","",""
"3382","3382","","1","",""
"3381","3381","","1","",""
"3380","3380","","1","",""
"3379","3379","","1","",""
"3378","3378","","1","",""
"3377","3377","","1","",""
"3376","3376","","1","",""
"3375","3375","","1","",""
"3374","3374","","1","",""
"3373","3373","","1","",""
"3372","3372","","1","",""
"3371","3371","","1","",""
"3370","3370","","1","",""
"3369","3369","","1","",""
"3368","3368","","1","",""
"3367","3367","","1","",""
"3366","3366","","1","",""
"3365","3365","","1","",""
"3364","3364","","1","",""
"3363","3363","","1","",""
"3362","3362","","1","",""
"3361","3361","","1","",""
"3360","3360","","7","",""
"3359","3359","","1","",""
"3358","3358","","3","",""
"3357","3357","","18","",""
"3356","3356","","2","",""
"3355","3355","","29","",""
"3354","3354","","3","",""
"3353","3353","","3","",""
"3352","3352","","32","",""
"3351","3351","","20","",""
"3350","3350","","17","",""
"3349","3349","","3","",""
"3348","3348","","2","",""
"3347","3347","","3","",""
"3346","3346","","17","",""
"3345","3345","","2","",""
"3344","3344","","5","",""
"3343","3343","","18","",""
"3342","3342","","17","",""
"3341","3341","","3","",""
"3340","3340","","7","",""
"3339","3339","","3","",""
"3338","3338","","2","",""
"3337","3337","","17","",""
"3336","3336","","3","",""
"3335","3335","","3","",""
"3334","3334","","3","",""
"3333","3333","","3","",""
"3332","3332","","3","",""
"3331","3331","","3","",""
"3330","3330","","1","",""
"3329","3329","","3","",""
"3328","3328","","13","",""
"3326","3326","","3","",""
"3325","3325","","17","",""
"3324","3324","","3","",""
"3323","3323","","18","",""
"3322","3322","","3","",""
"3321","3321","","2","",""
"3320","3320","","2","",""
"3319","3319","","3","",""
"3318","3318","","3","",""
"3317","3317","","3","",""
"3316","3316","","3","",""
"3315","3315","","18","",""
"3314","3314","","3","",""
"3313","3313","","3","",""
"3312","3312","","3","",""
"3311","3311","","3","",""
"3310","3310","","3","",""
"3309","3309","","3","",""
"3308","3308","","3","",""
"3307","3307","","18","",""
"3306","3306","","1","",""
"3305","3305","","3","",""
"3304","3304","","3","",""
"3303","3303","","3","",""
"3302","3302","","9","",""
"3301","3301","","17","",""
"3300","3300","","17","",""
"3299","3299","","17","",""
"3298","3298","","17","",""
"3297","3297","","17","",""
"3296","3296","","3","",""
"3295","3295","","17","",""
"3294","3294","","3","",""
"3293","3293","","17","",""
"3292","3292","","17","",""
"3291","3291","","3","",""
"3290","3290","","3","",""
"3289","3289","","17","",""
"3288","3288","","5","",""
"3287","3287","","25","",""
"3286","3286","","3","",""
"3285","3285","","17","",""
"3284","3284","","17","",""
"3283","3283","","5","",""
"3282","3282","","17","",""
"3281","3281","","18","",""
"3280","3280","","18","",""
"3279","3279","","3","",""
"3278","3278","","17","",""
"3277","3277","","3","",""
"3276","3276","","3","",""
"3275","3275","","3","",""
"3274","3274","","3","",""
"3273","3273","","18","",""
"3272","3272","","3","",""
"3271","3271","","1","",""
"3270","3270","","1","",""
"3269","3269","","18","",""
"3268","3268","","1","",""
"3266","3266","","3","",""
"3267","3267","","3","",""
"3265","3265","","18","",""
"3264","3264","","3","",""
"3263","3263","","3","",""
"3262","3262","","3","",""
"3261","3261","","2","",""
"3260","3260","","18","",""
"3259","3259","","17","",""
"3258","3258","","3","",""
"3257","3257","","3","",""
"3256","3256","","4","",""
"3255","3255","","17","",""
"3254","3254","","3","",""
"3253","3253","","3","",""
"3252","3252","","3","",""
"3251","3251","","3","",""
"3250","3250","","3","",""
"3249","3249","","3","",""
"3248","3248","","3","",""
"3247","3247","","3","",""
"3246","3246","","9","",""
"3245","3245","","14","",""
"3244","3244","","3","",""
"3243","3243","","9","",""
"3242","3242","","18","",""
"3241","3241","","1","",""
"3240","3240","","3","",""
"3239","3239","","3","",""
"3238","3238","","3","",""
"3237","3237","","3","",""
"3236","3236","","3","",""
"3235","3235","","3","",""
"3234","3234","","3","",""
"3233","3233","","3","",""
