"Product SKU","Product Name","Price","Category","Quantity","size","tcs","tip","marka","god","baltika","naznachenie","primmenenie"
"4400","4400","380","Сальники различного применения.","0","37*78*8/12","P07170","TCS","","","","",""
"4194","4194","120","Сальники различного применения.","0","16*30*6","P05767","TBR","","","","",""
"4193","4193","140","Сальники различного применения.","0","32*52*9","P05709","TC","","","","",""
"4192","4192","560","Сальники различного применения.","0","85*125*10","P05700","TC","","","","",""
"4191","4191","860","Сальники различного применения.","0","150*180*18","P05528","TC","","","","",""
"4190","4190","160","Сальники различного применения.","0","37*63*10","P05523","TC","","","","",""
"4189","4189","100","Сальники различного применения.","0","14*21*7","P05521","TC","","","","",""
"4188","4188","120","Сальники различного применения.","0","34*44*6","P05496","SC","","","","",""
"4187","4187","200","Сальники различного применения.","0","63*75*8","P05492","TC","","","","",""
"4186","4186","160","Сальники различного применения.","0","48*60*7","P05491","TC","","","","",""
"4185","4185","80","Сальники различного применения.","0","21*33*7","P05490","TC","","","","",""
"4184","4184","240","Сальники различного применения.","0","65*90*8","P05473","TC","","","","",""
"4183","4183","80","Сальники различного применения.","0","24*35*6","P05470","TC","","","","",""
"4182","4182","580","Сальники различного применения.","0","30*50*11","TDN1","","","","","",""
"4181","4181","80","Сальники различного применения.","0","18*29*5","P05425","SC","","","","",""
"4180","4180","80","Сальники различного применения.","0","20*34*7","P05423","TC","","","","",""
"4179","4179","80","Сальники различного применения.","0","20*30*4","P05422","TC","","","","",""
"4178","4178","80","Сальники различного применения.","0","14*24*5","P05420","TC","","","","",""
"4177","4177","100","Сальники различного применения.","0","12*18*5","P05418","TC","","","","",""
"4176","4176","100","Сальники различного применения.","0","22*35*7","P05416","TCL","","","","",""
"4175","4175","","Сальники различного применения.","0","37*50*11","P05415","TC4","","","","",""
"4174","4174","160","Сальники различного применения.","0","31*43*10","P05414","TC4","","","","",""
"4173","4173","220","Сальники различного применения.","0","37*50*11","P05412","DC4","","","","",""
"4172","4172","180","Сальники различного применения.","0","27*39*10.5","P05410","DC4","","","","",""
"4171","4171","80","Сальники различного применения.","0","21*35*7","P05388","TC","","","","",""
"4170","4170","100","Сальники различного применения.","0","18*27*5","P05371","TC","","","","",""
"4169","4169","140","Сальники различного применения.","0","28.5*39*5.6/6","P05369","TC4P","","","","",""
"4168","4168","140","Сальники различного применения.","0","17*32*8.5","P05349","DZ","","","","",""
"4167","4167","220","Сальники различного применения.","0","39*65*9/15.5","P05297","TC9L","","","","",""
"4166","4166","1000","Сальники различного применения.","0","150*185*15","P05290","TC","","","","",""
"4165","4165","220","Сальники различного применения.","0","72*85*8","P05289","TC","","","","",""
