"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Description","Excerpt","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","File Download","Download Limit","Download Expiry","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","Product URL","Button Text","Purchase Note","Product Status","Comment Status"
,,"2604","19","F-00976","f-00976","http://test6.isite39.ru/?????/f-00976/","MERCEDES",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","86","In Stock","No","No",,,,,,"Publish","Open"
,,"2605","20","F-00148","f-00148","http://test6.isite39.ru/?????/f-00148/","VOLVO",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","132","In Stock","No","No",,,,,,"Publish","Open"
,,"2606","21","F-00506","f-00506","http://test6.isite39.ru/?????/f-00506/","FIAT DUKATO",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","132","In Stock","No","No",,,,,,"Publish","Open"
,,"2607","22","F-00606","f-00606","http://test6.isite39.ru/?????/f-00606/","MITSUBISHI",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","9","In Stock","No","No",,,,,,"Publish","Open"
,,"2608","23","F-00356","f-00356","http://test6.isite39.ru/?????/f-00356/","FIAT",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","86","In Stock","No","No",,,,,,"Publish","Open"
,,"2609","24","F-00414","f-00414","http://test6.isite39.ru/?????/f-00414/","MAZDA",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","150","In Stock","No","No",,,,,,"Publish","Open"
,,"2610","25","F-00473","f-00473","http://test6.isite39.ru/?????/f-00473/","KIA",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","150","In Stock","No","No",,,,,,"Publish","Open"
,,"2611","26","F-00154","f-00154","http://test6.isite39.ru/?????/f-00154/","NISSAN",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","32","In Stock","No","No",,,,,,"Publish","Open"
,,"2612","27","F-00465","f-00465","http://test6.isite39.ru/?????/f-00465/","TOYOTA",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","325","In Stock","No","No",,,,,,"Publish","Open"
,,"2613","28","F-00165","f-00165","http://test6.isite39.ru/?????/f-00165/","TOYOTA, LEXUS",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","312","In Stock","No","No",,,,,,"Publish","Open"
,,"2614","29","F-00122","f-00122","http://test6.isite39.ru/?????/f-00122/","WV",,,"Catalog & Search","No","No","No","90",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","40","In Stock","No","No",,,,,,"Publish","Open"
,,"2615","30","F-00687","f-00687","http://test6.isite39.ru/?????/f-00687/","CHEVROLET",,,"Catalog & Search","No","No","No","90",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","40","In Stock","No","No",,,,,,"Publish","Open"
,,"2616","31","F-00781X","f-00781x","http://test6.isite39.ru/?????/f-00781x/","Ремонтный размер",,,"Catalog & Search","No","No","No","90",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","66","In Stock","No","No",,,,,,"Publish","Open"
,,"2617","32","F-00982","f-00982","http://test6.isite39.ru/?????/f-00982/","MAN",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","40","In Stock","No","No",,,,,,"Publish","Open"
,,"2618","33","F-00519","f-00519","http://test6.isite39.ru/?????/f-00519/","DAF",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","39","In Stock","No","No",,,,,,"Publish","Open"
,,"2619","34","F-00182","f-00182","http://test6.isite39.ru/?????/f-00182/","AUDI",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","17","In Stock","No","No",,,,,,"Publish","Open"
,,"2620","35","F-00080","f-00080","http://test6.isite39.ru/?????/f-00080/","RENAULT ESPACE",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes",0,"Out of Stock","No","No",,,,,,"Publish","Open"
,,"2621","36","F-00632","f-00632","http://test6.isite39.ru/?????/f-00632/","RENAULT SAFRANE",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes",0,"Out of Stock","No","No",,,,,,"Publish","Open"
,,"2622","37","F-00782","f-00782","http://test6.isite39.ru/?????/f-00782/","RENAULT CLIO",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes",0,"Out of Stock","No","No",,,,,,"Publish","Open"
,,"2623","38","F-00152","f-00152","http://test6.isite39.ru/?????/f-00152/","NISSAN",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","22","In Stock","No","No",,,,,,"Publish","Open"
,,"2624","39","F-00771","f-00771","http://test6.isite39.ru/?????/f-00771/","FORD",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","22","In Stock","No","No",,,,,,"Publish","Open"
,,"2625","40","F-00855","f-00855","http://test6.isite39.ru/?????/f-00855/","MAZDA",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","22","In Stock","No","No",,,,,,"Publish","Open"
,,"2626","41","F-01091","f-01091","http://test6.isite39.ru/?????/f-01091/","SUBARU",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","23","In Stock","No","No",,,,,,"Publish","Open"
,,"2627","42","F-00051","f-00051","http://test6.isite39.ru/?????/f-00051/","BMW",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","75","In Stock","No","No",,,,,,"Publish","Open"
,,"2628","43","F-00183","f-00183","http://test6.isite39.ru/?????/f-00183/","NISSAN",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","75","In Stock","No","No",,,,,,"Publish","Open"
,,"2629","44","F-00517","f-00517","http://test6.isite39.ru/?????/f-00517/","AUDI, WV",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","75","In Stock","No","No",,,,,,"Publish","Open"
,,"2630","45","F-00648","f-00648","http://test6.isite39.ru/?????/f-00648/","OPEL, IVECO",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","75","In Stock","No","No",,,,,,"Publish","Open"
,,"2631","46","F-00117","f-00117","http://test6.isite39.ru/?????/f-00117/","FORD",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","159","In Stock","No","No",,,,,,"Publish","Open"
,,"2632","47","F-00959","f-00959","http://test6.isite39.ru/?????/f-00959/","SUBARU",,,"Catalog & Search","No","No","No","30",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","159","In Stock","No","No",,,,,,"Publish","Open"
,,"2633","48","F-00164","f-00164","http://test6.isite39.ru/?????/f-00164/","ISUZU",,,"Catalog & Search","No","No","No","60",,,,0,"kg",0,"cm",0,"cm",0,"cm","Uncategorized",,,,"Taxable",,,,,"Yes","79","In Stock","No","No",,,,,,"Publish","Open"
