"sku","name","price","q"
290,"F-00226XX",200,29
406,"F-00227",200,84
437,"F-00228",200,59
351,"F-00228X",200,28
425,"F-00229",200,350
420,"F-00229M",200,144
341,"F-00229X",200,83
443,"F-00230",200,302
438,"F-00230M",200,82
352,"F-00230X",200,69
446,"F-00231",200,150
357,"F-00231X",200,94
452,"F-00232",200,147
360,"F-00232X",200,51
453,"F-00233",200,137
361,"F-00233X",200,52
460,"F-00234",200,160
365,"F-00234X",200,71
1167,"F-00235",200,145
374,"F-00236",200,307
319,"F-00236X",200,193
384,"F-00237",200,0
419,"F-00238",200,123
338,"F-00238X",200,308
375,"F-00239",200,139
439,"F-00240",200,52
353,"F-00240X",200,18
594,"F-00241",200,5
595,"F-00241M",200,9
502,"F-00241X",200,60
606,"F-00242",200,163
507,"F-00242X",200,356
367,"F-00242XX",200,17
545,"F-00243",200,24
546,"F-00243M",200,124
478,"F-00243X",200,68
510,"F-00243X1",200,16
407,"F-00243XX",200,64
565,"F-00244",200,29
534,"F-00245",200,211
533,"F-00245M",200,315
572,"F-00246",200,43
493,"F-00246X",200,54
640,"F-00247",200,0
1162,"F-00247A",200,250
601,"F-00247X",200,258
615,"F-00251",200,191
622,"F-00253",200,99
1166,"F-00253A",200,192
582,"F-00253X",200,78
623,"F-00254",200,71
628,"F-00255M",200,42
593,"F-00255X",200,157
655,"F-00256",200,800
693,"F-00257",200,240
682,"F-00258",200,43
707,"F-00259",200,9
708,"F-00259M",200,281
641,"F-00259X",200,43
673,"F-00261",200,84
668,"F-00261M",200,43
610,"F-00261X",200,42
683,"F-00262",200,283
684,"F-00262M",200,21
620,"F-00262X",200,18
727,"F-00263",200,44
728,"F-00264",200,55
758,"F-00265",200,123
723,"F-00265X",200,477
764,"F-00266",200,149
726,"F-00266X",200,119
765,"F-00267",200,0
729,"F-00267X",200,29
822,"F-00268",200,15
821,"F-00268A",200,148
892,"F-00269",200,165
890,"F-00269A",200,225
894,"F-00269M",200,9
802,"F-00269X",200,41
827,"F-00270",200,19
805,"F-00270AX",200,206
823,"F-00270M",200,71
762,"F-00270X",200,243
974,"F-00271",200,50
993,"F-00272",200,287
953,"F-00272X",200,232
994,"F-00273",200,97
954,"F-00273X",200,103
1000,"F-00274",200,289
998,"F-00274M",200,94
956,"F-00274X",200,32
1079,"F-00275",200,343
1046,"F-00275X",200,42
1074,"F-00276",200,185
1044,"F-00276X",200,5
1030,"F-00276XX",200,84
1115,"F-00277",200,338
1113,"F-00277X",200,362
211,"F-00280",200,104
566,"F-00281",200,30
489,"F-00281X",200,173
604,"F-00282",200,99
220,"F-00283",200,293
185,"F-00283X",200,588
203,"F-00284",200,66
182,"F-00284X",200,335
373,"F-00285",200,287
318,"F-00285X",200,340
905,"F-00286",200,224
385,"F-00287",200,227
581,"F-00288",200,145
583,"F-00288M",200,100
497,"F-00288X",200,115
1023,"F-00289",200,166
1014,"F-00289X",200,138
1024,"F-00290",200,169
1015,"F-00290X",200,362
445,"F-00291",200,7
299,"F-00292",200,101
301,"F-00292M",200,116
263,"F-00292X",200,100
596,"F-00293",200,9
503,"F-00293X",200,64
382,"F-00295",100,98
310,"F-00296",100,205
135,"F-00297",70,35
126,"F-00297X",100,50
521,"F-00301",100,69
659,"F-00303",100,121
222,"F-00304",100,22
71,"F-00307",100,298
103,"F-00308",100,182
656,"F-00309",100,49
524,"F-00311",100,107
522,"F-00312",100,83
72,"F-00313",70,357
68,"F-00313X",100,8
79,"F-00315",70,8
849,"F-00319",100,16
660,"F-00331",100,223
369,"F-00332",100,147
223,"F-00333",100,12
654,"F-00339",200,456
915,"F-00343",200,290
3,"F-00355",100,250
25,"F-00356",100,101
931,"F-00358",100,479
386,"F-00360",200,47
325,"F-00360X",200,79
291,"F-00360XX",200,22
13,"F-00365",70,0
87,"F-00366",70,334
57,"F-00366X",100,45
739,"F-00367",100,63
117,"F-00368",70,68
1137,"F-00368X",100,60
549,"F-00369",200,150
481,"F-00369X",200,40
410,"F-00369XX",200,37
674,"F-00371",200,155
669,"F-00371M",200,97
611,"F-00371X",200,65
8,"F-00372",200,561
666,"F-00373",200,108
609,"F-00373X",200,245
1008,"F-00374",200,368
836,"F-00375",200,8
770,"F-00375X",200,8
709,"F-00376",200,93
1161,"F-00376X",200,219
600,"F-00377",200,71
506,"F-00377X",200,296
868,"F-00378",200,1048
789,"F-00378X",200,633
747,"F-00378XX",200,198
680,"F-00380",200,355
619,"F-00380X",200,308
224,"F-00381",200,19
187,"F-00381X",200,100
1114,"F-00383",200,270
415,"F-00387",100,129
416,"F-00387M",100,235
665,"F-00389",100,249
871,"F-00394",100,175
66,"F-00395",70,213
281,"F-00396",200,28
285,"F-00396M",200,103
258,"F-00396X",200,96
219,"F-00396XX",200,116
433,"F-00397",200,499
348,"F-00397X",200,423
1106,"F-00398",200,134
1097,"F-00398X",200,132
1091,"F-00398XX",200,67
616,"F-00399",200,197
712,"F-00400",200,66
644,"F-00400X",200,0
691,"F-00401",200,132
690,"F-00401A",200,312
627,"F-00401AX",200,133
629,"F-00401X",200,71
294,"F-00402",200,152
260,"F-00402X",200,40
83,"F-00403",70,23
58,"F-00403X",100,10
865,"F-00404",100,170
528,"F-00406",200,256
470,"F-00406X",200,90
454,"F-00407",200,137
362,"F-00407X",200,70
741,"F-00408",100,781
855,"F-00409",200,97
787,"F-00409X",200,8
588,"F-00411",200,355
26,"F-00414",70,18
977,"F-00417",200,238
982,"F-00417A",200,219
944,"F-00417X",200,104
89,"F-00418",70,156
164,"F-00420",100,35
109,"F-00421",100,51
52,"F-00421X",100,46
526,"F-00422",100,40
539,"F-00423",200,4
1163,"F-00423A",200,21
473,"F-00423X",200,299
1105,"F-00424",200,327
204,"F-00425",100,29
455,"F-00426",200,136
363,"F-00426X",200,50
913,"F-00431",100,87
10,"F-00432",100,57
916,"F-00433",200,324
920,"F-00433A",200,11
878,"F-00434",100,43
937,"F-00435",200,116
123,"F-00436",100,123
268,"F-00440",200,1
249,"F-00440X",200,122
275,"F-00441",200,76
253,"F-00441X",200,65
216,"F-00441XX",200,45
175,"F-00442",100,297
1069,"F-00444",200,373
1070,"F-00444M",200,308
1042,"F-00444X",200,212
1154,"F-00444XA",200,87
1027,"F-00444XX",200,11
395,"F-00445",200,302
329,"F-00445X",200,163
1063,"F-00446",200,145
1062,"F-00446A",200,0
692,"F-00447",200,150
630,"F-00447X",200,75
557,"F-00448",200,157
490,"F-00448X",200,70
1002,"F-00450",200,151
959,"F-00450X",200,33
1111,"F-00451",350,0
1101,"F-00451X",200,294
1095,"F-00451XX",200,230
1152,"F-00458",100,52
74,"F-00459",100,360
54,"F-00464",100,306
29,"F-00465",100,259
550,"F-00467",200,136
482,"F-00467X",200,41
411,"F-00467XX",200,33
27,"F-00473",70,24
430,"F-00474",200,213
346,"F-00474X",200,161
696,"F-00475",200,208
632,"F-00475X",200,294
392,"F-00476",200,109
330,"F-00476X",200,150
881,"F-00478",200,140
860,"F-00479",100,164
861,"F-00479M",200,66
658,"F-00483",100,70
73,"F-00484",70,699
55,"F-00484X",100,174
551,"F-00485",200,132
483,"F-00485X",200,45
412,"F-00485XX",200,37
980,"F-00486",200,119
1004,"F-00486A",200,19
948,"F-00486X",200,108
929,"F-00486XX",200,80
853,"F-00487",100,100
570,"F-00488",200,428
491,"F-00488X",200,302
427,"F-00488XX",200,179
523,"F-00489",200,397
663,"F-00490",100,42
873,"F-00492",200,68
793,"F-00492X",200,16
749,"F-00492XX",200,159
174,"F-00493",100,287
230,"F-00494",200,380
191,"F-00494X",200,393
179,"F-00494XX",200,324
917,"F-00495",100,230
383,"F-00496",100,51
213,"F-00497",200,427
184,"F-00497X",200,403
178,"F-00497XX",200,317
295,"F-00499",200,196
261,"F-00499X",200,43
699,"F-00501",200,0
635,"F-00501X",200,0
148,"F-00502",100,150
22,"F-00506",100,89
535,"F-00509",200,136
240,"F-00512",200,31
198,"F-00512X",200,60
243,"F-00513",200,40
447,"F-00515",200,70
448,"F-00515M",200,209
46,"F-00517",70,16
597,"F-00518",200,3
598,"F-00518M",200,59
504,"F-00518X",200,51
34,"F-00519",100,1
653,"F-00520",100,216
910,"F-00522",200,218
9,"F-00523",200,520
618,"F-00524",200,145
575,"F-00524X",200,227
246,"F-00526",100,142
568,"F-00527",200,244
111,"F-00529",100,248
538,"F-00530",100,76
173,"F-00531",100,317
160,"F-00531X",200,57
105,"F-00533",70,289
586,"F-00534",200,466
585,"F-00534A",200,124
587,"F-00534M",200,65
500,"F-00534X",200,309
678,"F-00535",200,292
617,"F-00535X",200,8
971,"F-00537",200,300
939,"F-00537X",200,70
922,"F-00537XX",200,344
972,"F-00539",200,197
973,"F-00539M",200,308
941,"F-00539X",200,215
940,"F-00539XM",200,451
830,"F-00540",200,510
763,"F-00540X",200,337
725,"F-00540XX",200,346
675,"F-00541",200,86
612,"F-00541X",200,52
694,"F-00542",200,0
695,"F-00542A",200,300
697,"F-00542M",200,230
633,"F-00542X",200,22
421,"F-00543",200,109
342,"F-00543X",200,39
700,"F-00544",200,0
706,"F-00544A",200,139
636,"F-00544X",200,0
676,"F-00545",200,128
670,"F-00545M",200,93
884,"F-00546",200,0
885,"F-00546X",200,25
798,"F-00546M",200,118
177,"F-00547",200,237
168,"F-00547X",200,65
879,"F-00548",100,17
1126,"F-00549",350,14
16,"F-00555",100,61
24,"F-00556",100,349
136,"F-00558",70,26
127,"F-00558X",100,13
1128,"F-00559",350,28
1080,"F-00560",200,24
1047,"F-00560X",200,132
1033,"F-00560XX",200,298
118,"F-00561",70,101
1136,"F-00561X",100,63
151,"F-00562",100,110
1064,"F-00569",200,298
1040,"F-00569X",200,149
180,"F-00576",200,111
1083,"F-00581",200,212
1050,"F-00581X",200,77
1032,"F-00582",200,144
686,"F-00583",200,230
856,"F-00584",200,74
788,"F-00584X",200,4
1005,"F-00585",200,315
962,"F-00585X",200,366
23,"F-00586",100,345
1021,"F-00587",200,181
1022,"F-00587M",200,314
1013,"F-00587X",200,450
1153,"F-00587XA",200,163
989,"F-00587XX",200,374
1020,"F-00588",200,379
1012,"F-00588X",200,337
986,"F-00588XX",200,349
857,"F-00589",200,48
869,"F-00589A",200,190
872,"F-00589AM",200,0
866,"F-00589M",200,107
791,"F-00589X",200,86
748,"F-00589XX",200,222
313,"F-00590",100,197
685,"F-00592",200,90
621,"F-00592X",200,114
983,"F-00593",200,135
945,"F-00593X",200,113
1151,"F-00594",200,96
11,"F-00597",100,84
462,"F-00599",200,3
366,"F-00599X",200,52
84,"F-00600",70,22
59,"F-00600X",100,32
393,"F-00601",200,136
331,"F-00601X",200,156
569,"F-00604",200,215
176,"F-00605",100,177
104,"F-00607",70,790
4,"F-00608",100,451
149,"F-00609",100,68
417,"F-00612",200,216
339,"F-00612X",200,28
520,"F-00613",200,90
81,"F-00619",70,295
1011,"F-00622",200,763
966,"F-00622X",200,386
935,"F-00622XX",200,108
838,"F-00624",200,41
774,"F-00624X",200,77
536,"F-00631",200,133
38,"F-00632",70,121
914,"F-00633",100,99
1129,"F-00635A",350,153
1127,"F-00639",350,17
150,"F-00640",100,105
122,"F-00641",100,86
276,"F-00642",200,68
254,"F-00642X",200,73
217,"F-00642XX",200,47
1076,"F-00644",200,69
1122,"F-00647",200,252
47,"F-00648",70,15
376,"F-00651",200,40
320,"F-00651X",200,61
400,"F-00652",200,193
335,"F-00652X",200,97
554,"F-00653",200,205
486,"F-00653X",200,67
64,"F-00657",70,120
573,"F-00658",200,34
161,"F-00659",200,57
591,"F-00661",200,209
592,"F-00661M",200,139
886,"F-00662",200,14
887,"F-00662X",200,27
799,"F-00662M",200,112
137,"F-00663",70,20
128,"F-00663X",100,50
143,"F-00666",70,136
171,"F-00667",100,163
162,"F-00667X",200,80
440,"F-00668",200,76
354,"F-00668X",200,86
584,"F-00669",200,79
498,"F-00669X",200,100
227,"F-00670",200,49
231,"F-00670A",200,15
192,"F-00670AX",200,26
188,"F-00670X",200,100
777,"F-00671",200,103
734,"F-00671X",200,83
241,"F-00672",200,25
199,"F-00672X",200,60
932,"F-00673",100,223
918,"F-00673X",200,135
664,"F-00675",100,74
113,"F-00677",70,25
1072,"F-00678",200,406
1043,"F-00678X",200,153
207,"F-00680",100,74
138,"F-00681",70,39
129,"F-00681X",100,45
850,"F-00682",100,101
730,"F-00683",200,65
701,"F-00683X",200,0
32,"F-00687",200,119
114,"F-00688",70,25
17,"F-00689",100,58
679,"F-00694",200,161
687,"F-00695",200,227
530,"F-00696",100,86
831,"F-00697",200,110
817,"F-00698",200,363
755,"F-00698X",200,140
984,"F-00704",200,263
898,"F-00706",200,261
806,"F-00706X",200,279
897,"F-00709",200,483
463,"F-00712",200,138
542,"F-00713",200,148
475,"F-00713X",200,288
599,"F-00714",200,56
505,"F-00714X",200,58
422,"F-00716",200,166
343,"F-00716X",200,80
434,"F-00717",200,556
1006,"F-00718",200,280
963,"F-00718X",200,0
999,"F-00719",200,39
957,"F-00719X",200,137
172,"F-00720",100,193
540,"F-00721",100,436
529,"F-00724",200,265
471,"F-00724X",200,96
992,"F-00725",200,288
952,"F-00725X",200,366
7,"F-00726",200,578
967,"F-00727",200,15
909,"F-00729",200,21
577,"F-00731",200,23
814,"F-00734",200,352
751,"F-00734X",200,453
815,"F-00735",200,168
752,"F-00735X",200,333
1067,"F-00737",200,67
1068,"F-00737M",200,57
1041,"F-00737X",200,143
379,"F-00738",200,327
269,"F-00739",200,63
250,"F-00739X",200,150
77,"F-00740",70,492
51,"F-00741",100,207
1089,"F-00742",200,290
893,"F-00743",200,22
803,"F-00743X",200,33
12,"F-00744",100,93
1084,"F-00745",200,217
1051,"F-00745X",200,75
245,"F-00748",100,21
888,"F-00749",200,70
800,"F-00749�",200,27
906,"F-00750",200,89
841,"F-00751",200,405
907,"F-00752",200,131
778,"F-00752XX",200,41
874,"F-00754",200,115
794,"F-00754X",200,6
1007,"F-00755",200,0
964,"F-00755X",200,0
934,"F-00755XX",200,314
997,"F-00756",200,90
958,"F-00756X",200,28
308,"F-00758",100,207
208,"F-00759",100,89
981,"F-00762",200,122
949,"F-00762X",200,108
930,"F-00762XX",200,78
516,"F-00764",200,150
484,"F-00764X",200,45
413,"F-00764XX",200,37
812,"F-00765",200,334
745,"F-00765X",200,145
837,"F-00766",200,52
771,"F-00766X",200,39
80,"F-00769",70,16
41,"F-00771",70,59
85,"F-00779",70,141
60,"F-00779X",100,38
711,"F-00780",200,109
643,"F-00780X",200,169
33,"F-00781X",100,10
39,"F-00782",70,120
377,"F-00783",200,109
321,"F-00783X",200,98
1147,"F-00786",100,96
1146,"F-00786X",100,246
605,"F-00788",100,81
212,"F-00796",200,135
183,"F-00796X",200,52
242,"F-00797",200,30
200,"F-00797X",200,60
1144,"F-00798",200,429
991,"F-00800",200,200
951,"F-00800X",200,334
1001,"F-00801",200,152
960,"F-00801X",200,80
1077,"F-00803",200,70
1123,"F-00804",350,26
228,"F-00806",200,4
189,"F-00806X",200,98
234,"F-00807",200,147
194,"F-00807X",200,155
602,"F-00808",200,62
818,"F-00809",200,203
842,"F-00810",200,239
783,"F-00810X",200,216
742,"F-00811",100,291
677,"F-00812",200,91
704,"F-00813",200,0
637,"F-00813X",200,0
895,"F-00814",200,32
820,"F-00814X",200,355
1140,"F-00815",100,432
902,"F-00816",200,153
809,"F-00817",100,13
457,"F-00818",200,21
578,"F-00819",200,22
315,"F-00820",100,79
756,"F-00821",200,104
721,"F-00821X",200,130
1165,"F-00824",200,239
779,"F-00825",200,108
735,"F-00825X",200,88
719,"F-00826",200,224
651,"F-00826X",200,341
607,"F-00826XX",200,175
1085,"F-00827",200,152
1052,"F-00827X",200,425
1037,"F-00827XX",200,37
423,"F-00829",200,170
340,"F-00829X",200,27
401,"F-00830",200,211
336,"F-00830X",200,103
378,"F-00831",200,151
322,"F-00831X",200,97
710,"F-00832",200,323
642,"F-00832X",200,242
390,"F-00833",200,118
326,"F-00833X",200,85
870,"F-00835",100,320
314,"F-00837",100,129
773,"F-00838",200,339
733,"F-00838X",200,369
757,"F-00839",200,121
722,"F-00839X",200,142
903,"F-00843",200,93
547,"F-00844",200,174
834,"F-00847",200,57
766,"F-00847X",200,76
97,"F-00849",70,42
1134,"F-00849X",100,79
988,"F-00850",200,109
42,"F-00855",70,82
1088,"F-00857",300,87
1054,"F-00857X",200,218
720,"F-00859",100,180
603,"F-00860",200,65
267,"F-00865",100,172
116,"F-00868",70,597
1135,"F-00868X",100,78
900,"F-00869",200,235
807,"F-00869X",200,213
828,"F-00871",200,160
839,"F-00872",200,127
775,"F-00872X",200,91
759,"F-00877",200,230
724,"F-00877X",200,362
449,"F-00878",200,30
450,"F-00878M",200,198
359,"F-00878X",200,41
1071,"F-00880",200,587
1056,"F-00880X",200,634
1016,"F-00880XX",200,152
713,"F-00881",200,83
645,"F-00881X",200,2
144,"F-00884",70,125
101,"F-00886",100,220
139,"F-00887",70,30
130,"F-00887X",100,30
225,"F-00889",100,83
209,"F-00890",100,72
18,"F-00894",100,48
115,"F-00895",70,25
832,"F-00899",200,137
819,"F-00900",200,210
265,"F-00901",200,73
1081,"F-00902",200,270
1082,"F-00902A",200,47
1048,"F-00902X",200,132
1049,"F-00902XA",200,68
1090,"F-00908",200,216
1036,"F-00910",200,220
1019,"F-00910X",200,358
517,"F-00911",200,137
485,"F-00911X",200,37
414,"F-00911XX",200,32
824,"F-00914",200,69
760,"F-00914X",200,82
124,"F-00915",100,126
288,"F-00916",100,479
451,"F-00917",200,194
358,"F-00917X",200,150
435,"F-00919",200,113
349,"F-00919X",200,150
731,"F-00922",200,51
702,"F-00922X",200,0
671,"F-00923",200,62
613,"F-00923X",200,77
302,"F-00926",200,91
264,"F-00926X",200,99
316,"F-00927",100,140
715,"F-00930",200,117
647,"F-00930X",200,56
782,"F-00931",200,308
738,"F-00931X",200,319
1028,"F-00932",200,27
337,"F-00933",200,97
688,"F-00934",200,204
624,"F-00934X",200,67
580,"F-00935",200,274
496,"F-00935X",200,0
247,"F-00938",100,103
1109,"F-00939",200,107
1099,"F-00939X",200,148
1093,"F-00939XX",200,106
833,"F-00940",200,451
467,"F-00941",200,108
368,"F-00941X",200,348
877,"F-00943",200,273
229,"F-00948",200,0
190,"F-00948X",200,100
235,"F-00949",200,146
195,"F-00949X",200,153
829,"F-00950",200,170
840,"F-00951",200,130
776,"F-00951X",200,86
698,"F-00952",200,226
634,"F-00952X",200,89
49,"F-00959",70,64
825,"F-00960",200,65
761,"F-00960X",200,78
896,"F-00961",200,284
804,"F-00961X",200,310
826,"F-00962",200,71
458,"F-00965",200,154
364,"F-00965X",200,0
391,"F-00966",200,0
328,"F-00966X",200,278
844,"F-00970",200,55
785,"F-00970X",200,168
1078,"F-00973",200,67
20,"F-00976",70,14
140,"F-00978",70,40
131,"F-00978X",100,50
851,"F-00979",100,85
933,"F-00980",100,186
919,"F-00980X",200,141
862,"F-00981",100,178
863,"F-00981M",200,143
35,"F-00982",100,2
441,"F-00983",200,62
355,"F-00983X",200,62
1103,"F-00984",200,329
810,"F-00985",100,15
780,"F-00986",200,105
736,"F-00986X",200,88
1110,"F-00988",200,89
1100,"F-00988X",200,144
1094,"F-00988XX",200,104
716,"F-00990",200,136
648,"F-00990X",200,52
75,"F-00993",70,287
69,"F-00993X",70,108
705,"F-00994",200,0
638,"F-00994X",200,0
845,"F-00996",200,80
786,"F-00996X",200,168
1061,"F-01002",200,364
1073,"F-01003",200,57
1087,"F-01006",200,167
1053,"F-01006X",200,368
442,"F-01009",200,90
356,"F-01009X",200,74
221,"F-01010",100,29
426,"F-01018",200,153
345,"F-01018X",200,48
717,"F-01019",200,119
649,"F-01019X",200,151
387,"F-01021",200,109
327,"F-01021X",200,83
901,"F-01023",200,205
808,"F-01023X",200,207
854,"F-01024",100,68
769,"F-01028",200,36
732,"F-01028X",200,348
768,"F-01029",200,235
1034,"F-01030",200,102
1017,"F-01030X",200,78
965,"F-01030XX",200,190
1120,"F-01037",200,74
1118,"F-01037X",200,240
1116,"F-01037XX",200,103
424,"F-01039",200,159
418,"F-01039A",200,294
344,"F-01039X",200,91
552,"F-01042",200,174
1086,"F-01043",200,265
631,"F-01044",200,73
835,"F-01045",200,133
767,"F-01045X",200,110
562,"F-01046",200,0
558,"F-01046M",200,284
867,"F-01048",200,157
792,"F-01048X",200,92
746,"F-01048XX",200,147
985,"F-01050",200,246
950,"F-01050X",200,354
90,"F-01051",70,151
91,"F-01052",70,156
781,"F-01054",200,119
737,"F-01054X",200,81
1107,"F-01062",200,194
1098,"F-01062X",200,146
1092,"F-01062XX",200,104
1003,"F-01063",200,146
961,"F-01063X",200,48
309,"F-01065",100,146
923,"F-01066",200,163
924,"F-01069",200,169
911,"F-01069X",200,316
110,"F-01071",100,55
86,"F-01072",70,155
61,"F-01072X",100,29
1102,"F-01085",200,24
1125,"F-01087",350,359
1124,"F-01089",350,18
904,"F-01090",200,425
772,"F-01090XX",200,35
43,"F-01091",70,102
431,"F-01092",200,38
432,"F-01092M",200,216
347,"F-01092X",200,166
1075,"F-01095",200,582
1045,"F-01095X",200,240
1031,"F-01095XX",200,331
465,"F-01096",200,176
466,"F-01099",200,172
98,"F-01100",70,42
1035,"F-01104",200,125
1018,"F-01104X",200,75
1010,"F-01104XX",200,318
99,"F-01105",70,66
19,"F-01106",100,46
689,"F-01107",200,217
625,"F-01107X",200,93
1150,"F-01113",200,492
444,"F-01117",200,84
