"Product SKU";"Product Name";"p";"q"
360;"F-00232X";"120   ";63
453;"F-00233";"120   ";26
361;"F-00233X";"120   ";60
460;"F-00234";"120   ";177
365;"F-00234X";"120   ";74
374;"F-00236";"120   ";32
319;"F-00236X";"120   ";31
384;"F-00237";"120   ";17
419;"F-00238";"120   ";126
338;"F-00238X";"120   ";31
375;"F-00239";"120   ";178
439;"F-00240";"120   ";110
353;"F-00240X";"120   ";64
594;"F-00241";"120   ";41
595;"F-00241M";"120   ";60
502;"F-00241X";"120   ";67
606;"F-00242";"120   ";0
507;"F-00242X";"120   ";61
367;"F-00242XX";"120   ";18
545;"F-00243";"120   ";79
546;"F-00243M";"120   ";101
478;"F-00243X";"120   ";7
510;"F-00243X1";"120   ";81
407;"F-00243XX";"120   ";20
565;"F-00244";"120   ";38
534;"F-00245";"120   ";231
533;"F-00245M";"120   ";46
572;"F-00246";"120   ";60
493;"F-00246X";"120   ";59
640;"F-00247";"120   ";0
1162;"F-00247A";"120   ";205
601;"F-00247X";"120   ";278
615;"F-00251";"120   ";222
622;"F-00253";"120   ";210
582;"F-00253X";"120   ";30
626;"F-00254";"120   ";0
623;"F-00254M";"120   ";77
628;"F-00255M";"120   ";8
593;"F-00255X";"120   ";172
655;"F-00256";"120   ";830
693;"F-00257";"120   ";268
682;"F-00258";"120   ";77
707;"F-00259";"120   ";45
708;"F-00259M";"120   ";366
641;"F-00259X";"120   ";55
673;"F-00261";"120   ";125
668;"F-00261M";"120   ";0
610;"F-00261X";"120   ";89
683;"F-00262";"120   ";0
684;"F-00262M";"120   ";43
620;"F-00262X";"120   ";30
727;"F-00263";"120   ";65
728;"F-00264";"120   ";65
758;"F-00265";"120   ";0
723;"F-00265X";"120   ";256
764;"F-00266";"120   ";205
726;"F-00266X";"120   ";10
765;"F-00267";"120   ";30
729;"F-00267X";"120   ";65
822;"F-00268";"120   ";26
821;"F-00268A";"120   ";161
892;"F-00269";"120   ";202
890;"F-00269A";"120   ";241
894;"F-00269M";"120   ";58
802;"F-00269X";"120   ";0
827;"F-00270";"120   ";43
805;"F-00270AX";"120   ";219
823;"F-00270M";"120   ";0
762;"F-00270X";"120   ";252
974;"F-00271";"120   ";72
993;"F-00272";"120   ";0
953;"F-00272X";"120   ";70
994;"F-00273";"120   ";130
954;"F-00273X";"120   ";106
1000;"F-00274";"120   ";6
998;"F-00274M";"120   ";20
956;"F-00274X";"120   ";36
1079;"F-00275";"120   ";83
1046;"F-00275X";"120   ";55
1074;"F-00276";"120   ";303
1044;"F-00276X";"120   ";11
1030;"F-00276XX";"120   ";100
1115;"F-00277";"120   ";48
1113;"F-00277X";"120   ";69
211;"F-00280";"120   ";112
566;"F-00281";"120   ";87
489;"F-00281X";"120   ";50
604;"F-00282";"120   ";135
220;"F-00283";"120   ";310
185;"F-00283X";"120   ";58
203;"F-00284";"120   ";80
182;"F-00284X";"120   ";40
373;"F-00285";"120   ";13
318;"F-00285X";"120   ";58
905;"F-00286";"120   ";249
385;"F-00287";"120   ";254
581;"F-00288";"120   ";164
583;"F-00288M";"120   ";30
497;"F-00288X";"120   ";21
1023;"F-00289";"120   ";196
1014;"F-00289X";"120   ";66
1024;"F-00290";"120   ";200
1015;"F-00290X";"120   ";75
445;"F-00291";"120   ";18
299;"F-00292";"120   ";112
301;"F-00292M";"120   ";28
263;"F-00292X";"120   ";0
596;"F-00293";"120   ";20
503;"F-00293X";"120   ";64
382;"F-00295";"60   ";118
310;"F-00296";"60   ";0
135;"F-00297";"40   ";170
126;"F-00297X";"60   ";15
521;"F-00301";"60   ";104
659;"F-00303";"60   ";179
222;"F-00304";"60   ";30
71;"F-00307";"60   ";0
103;"F-00308";"60   ";200
656;"F-00309";"60   ";85
524;"F-00311";"60   ";114
522;"F-00312";"60   ";99
72;"F-00313";"40   ";367
68;"F-00313X";"60   ";18
79;"F-00315";"40   ";25
849;"F-00319";"60   ";140
660;"F-00331";"60   ";394
369;"F-00332";"60   ";159
223;"F-00333";"60   ";13
654;"F-00339";"120   ";468
915;"F-00343";"120   ";308
3;"F-00355";"60   ";0
25;"F-00356";"60   ";128
931;"F-00358";"60   ";499
386;"F-00360";"120   ";120
325;"F-00360X";"120   ";12
291;"F-00360XX";"120   ";11
13;"F-00365";"40   ";19
87;"F-00366";"40   ";41
57;"F-00366X";"60   ";45
739;"F-00367";"60   ";100
117;"F-00368";"40   ";16
1137;"F-00368X";"60   ";65
549;"F-00369";"120   ";172
481;"F-00369X";"120   ";9
410;"F-00369XX";"120   ";37
674;"F-00371";"120   ";133
669;"F-00371M";"120   ";0
611;"F-00371X";"120   ";77
8;"F-00372";"120   ";267
666;"F-00373";"120   ";133
609;"F-00373X";"120   ";59
1008;"F-00374";"120   ";126
836;"F-00375";"120   ";65
770;"F-00375X";"120   ";30
709;"F-00376";"120   ";200
1161;"F-00376X";"120   ";90
600;"F-00377";"120   ";123
506;"F-00377X";"120   ";18
868;"F-00378";"120   ";1384
789;"F-00378X";"120   ";392
747;"F-00378XX";"120   ";233
680;"F-00380";"120   ";190
619;"F-00380X";"120   ";16
224;"F-00381";"120   ";20
187;"F-00381X";"120   ";0
1114;"F-00383";"120   ";279
415;"F-00387";"60   ";182
416;"F-00387M";"60   ";246
665;"F-00389";"60   ";0
871;"F-00394";"60   ";144
66;"F-00395";"40   ";312
281;"F-00396";"120   ";74
285;"F-00396M";"120   ";111
258;"F-00396X";"120   ";84
219;"F-00396XX";"120   ";127
433;"F-00397";"120   ";290
348;"F-00397X";"120   ";208
1106;"F-00398";"120   ";49
1097;"F-00398X";"120   ";0
1091;"F-00398XX";"120   ";81
616;"F-00399";"120   ";207
712;"F-00400";"120   ";100
644;"F-00400X";"120   ";6
691;"F-00401";"120   ";30
690;"F-00401A";"120   ";38
627;"F-00401AX";"120   ";78
629;"F-00401X";"120   ";8
294;"F-00402";"120   ";180
260;"F-00402X";"120   ";9
83;"F-00403";"40   ";295
58;"F-00403X";"60   ";45
865;"F-00404";"60   ";90
528;"F-00406";"120   ";149
470;"F-00406X";"120   ";0
454;"F-00407";"120   ";68
362;"F-00407X";"120   ";72
741;"F-00408";"60   ";1003
855;"F-00409";"120   ";127
787;"F-00409X";"120   ";2
588;"F-00411";"120   ";371
26;"F-00414";"40   ";52
977;"F-00417";"120   ";259
982;"F-00417A";"120   ";108
944;"F-00417X";"120   ";70
89;"F-00418";"40   ";30
164;"F-00420";"60   ";69
109;"F-00421";"60   ";57
52;"F-00421X";"60   ";49
526;"F-00422";"60   ";97
539;"F-00423";"120   ";30
473;"F-00423X";"120   ";15
1105;"F-00424";"120   ";344
204;"F-00425";"60   ";44
455;"F-00426";"120   ";74
363;"F-00426X";"120   ";59
913;"F-00431";"60   ";90
10;"F-00432";"60   ";86
916;"F-00433";"120   ";335
920;"F-00433A";"120   ";19
878;"F-00434";"60   ";46
937;"F-00435";"120   ";139
123;"F-00436";"60   ";139
268;"F-00440";"120   ";48
249;"F-00440X";"120   ";0
275;"F-00441";"120   ";90
253;"F-00441X";"120   ";5
216;"F-00441XX";"120   ";45
175;"F-00442";"60   ";332
1069;"F-00444";"120   ";393
1070;"F-00444M";"120   ";375
1042;"F-00444X";"120   ";0
1154;"F-00444XA";"120   ";100
1027;"F-00444XX";"120   ";42
395;"F-00445";"120   ";35
329;"F-00445X";"120   ";48
1063;"F-00446";"120   ";195
1062;"F-00446A";"120   ";0
692;"F-00447";"120   ";30
630;"F-00447X";"120   ";8
557;"F-00448";"120   ";24
490;"F-00448X";"120   ";27
1002;"F-00450";"120   ";85
959;"F-00450X";"120   ";47
1111;"F-00451";"120   ";0
1101;"F-00451X";"120   ";19
1095;"F-00451XX";"120   ";240
1152;"F-00458";"60   ";79
74;"F-00459";"60   ";444
54;"F-00464";"60   ";325
29;"F-00465";"60   ";273
550;"F-00467";"120   ";175
482;"F-00467X";"120   ";9
411;"F-00467XX";"120   ";46
27;"F-00473";"40   ";51
430;"F-00474";"120   ";255
346;"F-00474X";"120   ";104
696;"F-00475";"120   ";100
632;"F-00475X";"120   ";56
392;"F-00476";"120   ";0
330;"F-00476X";"120   ";17
881;"F-00478";"120   ";150
860;"F-00479";"60   ";130
861;"F-00479M";"120   ";145
658;"F-00483";"60   ";97
73;"F-00484";"40   ";1157
55;"F-00484X";"60   ";194
551;"F-00485";"120   ";139
483;"F-00485X";"120   ";9
412;"F-00485XX";"120   ";41
980;"F-00486";"120   ";71
1004;"F-00486A";"120   ";22
948;"F-00486X";"120   ";6
929;"F-00486XX";"120   ";7
853;"F-00487";"60   ";145
570;"F-00488";"120   ";204
491;"F-00488X";"120   ";23
427;"F-00488XX";"120   ";185
523;"F-00489";"120   ";180
663;"F-00490";"60   ";0
873;"F-00492";"120   ";0
793;"F-00492X";"120   ";35
749;"F-00492XX";"120   ";177
174;"F-00493";"60   ";116
230;"F-00494";"120   ";169
191;"F-00494X";"120   ";146
179;"F-00494XX";"120   ";41
917;"F-00495";"60   ";213
383;"F-00496";"60   ";64
213;"F-00497";"120   ";198
184;"F-00497X";"120   ";158
178;"F-00497XX";"120   ";47
295;"F-00499";"120   ";212
261;"F-00499X";"120   ";12
699;"F-00501";"120   ";15
635;"F-00501X";"120   ";0
148;"F-00502";"60   ";3
22;"F-00506";"60   ";105
535;"F-00509";"120   ";142
240;"F-00512";"120   ";45
198;"F-00512X";"120   ";0
243;"F-00513";"120   ";45
447;"F-00515";"120   ";86
448;"F-00515M";"120   ";124
46;"F-00517";"40   ";14
597;"F-00518";"120   ";20
598;"F-00518M";"120   ";114
504;"F-00518X";"120   ";64
34;"F-00519";"60   ";2
653;"F-00520";"60   ";264
910;"F-00522";"120   ";238
9;"F-00523";"120   ";320
618;"F-00524";"120   ";174
575;"F-00524X";"120   ";125
246;"F-00526";"60   ";160
568;"F-00527";"120   ";274
111;"F-00529";"60   ";277
538;"F-00530";"60   ";136
173;"F-00531";"60   ";141
160;"F-00531X";"120   ";90
105;"F-00533";"40   ";156
586;"F-00534";"120   ";632
585;"F-00534A";"120   ";170
587;"F-00534M";"120   ";149
500;"F-00534X";"120   ";18
499;"F-00534XA";"120   ";52
678;"F-00535";"120   ";328
617;"F-00535X";"120   ";26
971;"F-00537";"120   ";411
939;"F-00537X";"120   ";96
922;"F-00537XX";"120   ";61
972;"F-00539";"120   ";164
973;"F-00539M";"120   ";378
941;"F-00539X";"120   ";250
940;"F-00539XM";"120   ";471
830;"F-00540";"120   ";238
763;"F-00540X";"120   ";59
725;"F-00540XX";"120   ";388
675;"F-00541";"120   ";0
612;"F-00541X";"120   ";59
694;"F-00542";"120   ";0
695;"F-00542A";"120   ";0
697;"F-00542M";"120   ";100
633;"F-00542X";"120   ";33
421;"F-00543";"120   ";58
342;"F-00543X";"120   ";30
700;"F-00544";"120   ";13
706;"F-00544A";"120   ";173
636;"F-00544X";"120   ";0
676;"F-00545";"120   ";168
670;"F-00545M";"120   ";0
884;"F-00546";"120   ";165
885;"F-00546M";"120   ";124
798;"F-00546Х";"120   ";49
177;"F-00547";"120   ";0
168;"F-00547X";"120   ";40
879;"F-00548";"60   ";13
1126;"F-00549";"200   ";20
16;"F-00555";"60   ";75
24;"F-00556";"60   ";382
136;"F-00558";"40   ";170
127;"F-00558X";"60   ";15
1128;"F-00559";"200   ";30
1080;"F-00560";"120   ";117
1047;"F-00560X";"120   ";155
1033;"F-00560XX";"120   ";0
118;"F-00561";"40   ";22
1136;"F-00561X";"60   ";68
151;"F-00562";"60   ";256
1064;"F-00569";"120   ";326
1040;"F-00569X";"120   ";149
180;"F-00576";"120   ";10
1083;"F-00581";"120   ";133
1050;"F-00581X";"120   ";78
1032;"F-00582";"120   ";170
686;"F-00583";"120   ";106
856;"F-00584";"120   ";116
788;"F-00584X";"120   ";6
1005;"F-00585";"120   ";39
962;"F-00585X";"120   ";77
23;"F-00586";"60   ";372
1021;"F-00587";"120   ";213
1022;"F-00587M";"120   ";337
1013;"F-00587X";"120   ";466
1153;"F-00587XA";"120   ";100
989;"F-00587XX";"120   ";93
1020;"F-00588";"120   ";425
1012;"F-00588X";"120   ";51
986;"F-00588XX";"120   ";58
857;"F-00589";"120   ";70
869;"F-00589A";"120   ";229
872;"F-00589AM";"120   ";0
866;"F-00589M";"120   ";111
791;"F-00589X";"120   ";16
748;"F-00589XX";"120   ";49
313;"F-00590";"60   ";204
685;"F-00592";"120   ";166
621;"F-00592X";"120   ";167
983;"F-00593";"120   ";146
945;"F-00593X";"120   ";53
1151;"F-00594";"120   ";110
11;"F-00597";"60   ";93
462;"F-00599";"120   ";66
366;"F-00599X";"120   ";22
84;"F-00600";"40   ";289
59;"F-00600X";"60   ";45
393;"F-00601";"120   ";0
331;"F-00601X";"120   ";17
569;"F-00604";"120   ";234
176;"F-00605";"60   ";237
104;"F-00607";"40   ";808
4;"F-00608";"60   ";450
149;"F-00609";"60   ";75
417;"F-00612";"120   ";28
339;"F-00612X";"120   ";35
520;"F-00613";"120   ";107
81;"F-00619";"40   ";191
1011;"F-00622";"120   ";550
966;"F-00622X";"120   ";426
935;"F-00622XX";"120   ";24
838;"F-00624";"120   ";57
774;"F-00624X";"120   ";83
536;"F-00631";"120   ";133
38;"F-00632";"40   ";125
914;"F-00633";"60   ";90
1129;"F-00635A";"250   ";155
1127;"F-00639";"200   ";20
150;"F-00640";"60   ";106
122;"F-00641";"60   ";91
276;"F-00642";"120   ";90
254;"F-00642X";"120   ";4
217;"F-00642XX";"120   ";47
1076;"F-00644";"120   ";5
1122;"F-00647";"120   ";255
47;"F-00648";"40   ";38
376;"F-00651";"120   ";125
320;"F-00651X";"120   ";12
400;"F-00652";"120   ";242
335;"F-00652X";"120   ";77
554;"F-00653";"120   ";181
486;"F-00653X";"120   ";138
64;"F-00657";"40   ";124
573;"F-00658";"120   ";60
161;"F-00659";"120   ";90
591;"F-00661";"120   ";221
592;"F-00661M";"120   ";147
886;"F-00662";"120   ";274
887;"F-00662M";"120   ";120
799;"F-00662Х";"120   ";45
137;"F-00663";"40   ";170
128;"F-00663X";"60   ";15
143;"F-00666";"40   ";0
171;"F-00667";"60   ";129
162;"F-00667X";"120   ";90
440;"F-00668";"120   ";110
354;"F-00668X";"120   ";87
584;"F-00669";"120   ";30
498;"F-00669X";"120   ";22
227;"F-00670";"120   ";61
231;"F-00670A";"120   ";23
192;"F-00670AX";"120   ";29
188;"F-00670X";"120   ";0
777;"F-00671";"120   ";0
734;"F-00671X";"120   ";19
241;"F-00672";"120   ";43
199;"F-00672X";"120   ";0
932;"F-00673";"60   ";184
918;"F-00673X";"120   ";144
664;"F-00675";"60   ";0
113;"F-00677";"40   ";39
1072;"F-00678";"120   ";174
1043;"F-00678X";"120   ";55
207;"F-00680";"60   ";96
138;"F-00681";"40   ";170
129;"F-00681X";"60   ";15
850;"F-00682";"60   ";108
730;"F-00683";"120   ";65
701;"F-00683X";"120   ";15
32;"F-00687";"120   ";125
114;"F-00688";"40   ";50
17;"F-00689";"60   ";65
679;"F-00694";"120   ";184
687;"F-00695";"120   ";73
530;"F-00696";"60   ";105
831;"F-00697";"120   ";121
817;"F-00698";"120   ";415
755;"F-00698X";"120   ";104
984;"F-00704";"120   ";144
898;"F-00706";"120   ";275
806;"F-00706X";"120   ";288
897;"F-00709";"120   ";228
463;"F-00712";"120   ";164
542;"F-00713";"120   ";150
475;"F-00713X";"120   ";178
599;"F-00714";"120   ";114
505;"F-00714X";"120   ";66
422;"F-00716";"120   ";260
343;"F-00716X";"120   ";30
434;"F-00717";"120   ";262
1006;"F-00718";"120   ";119
963;"F-00718X";"120   ";21
999;"F-00719";"120   ";20
957;"F-00719X";"120   ";207
172;"F-00720";"60   ";128
540;"F-00721";"60   ";182
529;"F-00724";"120   ";108
471;"F-00724X";"120   ";9
992;"F-00725";"120   ";49
952;"F-00725X";"120   ";81
7;"F-00726";"120   ";282
967;"F-00727";"120   ";22
909;"F-00729";"120   ";30
577;"F-00731";"120   ";28
814;"F-00734";"120   ";381
751;"F-00734X";"120   ";478
815;"F-00735";"120   ";175
752;"F-00735X";"120   ";48
1067;"F-00737";"120   ";159
1068;"F-00737M";"120   ";122
1041;"F-00737X";"120   ";146
379;"F-00738";"120   ";36
269;"F-00739";"120   ";106
250;"F-00739X";"120   ";0
77;"F-00740";"40   ";776
51;"F-00741";"60   ";87
1089;"F-00742";"120   ";41
893;"F-00743";"120   ";24
803;"F-00743X";"120   ";0
12;"F-00744";"60   ";110
1084;"F-00745";"120   ";119
1051;"F-00745X";"120   ";77
245;"F-00748";"60   ";24
888;"F-00749";"120   ";77
800;"F-00749Х";"120   ";14
906;"F-00750";"120   ";101
841;"F-00751";"120   ";0
907;"F-00752";"120   ";141
778;"F-00752XX";"120   ";49
874;"F-00754";"120   ";0
794;"F-00754X";"120   ";30
1007;"F-00755";"120   ";0
964;"F-00755X";"120   ";21
934;"F-00755XX";"120   ";29
997;"F-00756";"120   ";20
958;"F-00756X";"120   ";30
308;"F-00758";"60   ";209
208;"F-00759";"60   ";90
981;"F-00762";"120   ";85
949;"F-00762X";"120   ";0
930;"F-00762XX";"120   ";7
516;"F-00764";"120   ";107
484;"F-00764X";"120   ";9
413;"F-00764XX";"120   ";39
812;"F-00765";"120   ";400
745;"F-00765X";"120   ";214
837;"F-00766";"120   ";65
771;"F-00766X";"120   ";48
80;"F-00769";"40   ";25
41;"F-00771";"40   ";85
85;"F-00779";"40   ";261
60;"F-00779X";"60   ";45
711;"F-00780";"120   ";25
643;"F-00780X";"120   ";38
33;"F-00781X";"60   ";18
39;"F-00782";"40   ";137
377;"F-00783";"120   ";158
321;"F-00783X";"120   ";12
1147;"F-00786";"60   ";187
1146;"F-00786X";"60   ";220
605;"F-00788";"60   ";98
212;"F-00796";"120   ";141
183;"F-00796X";"120   ";57
242;"F-00797";"120   ";45
200;"F-00797X";"120   ";0
1144;"F-00798";"120   ";446
991;"F-00800";"120   ";234
951;"F-00800X";"120   ";56
1001;"F-00801";"120   ";85
960;"F-00801X";"120   ";85
1077;"F-00803";"120   ";5
1123;"F-00804";"200   ";28
228;"F-00806";"120   ";9
189;"F-00806X";"120   ";20
234;"F-00807";"120   ";6
194;"F-00807X";"120   ";23
602;"F-00808";"120   ";98
818;"F-00809";"120   ";39
842;"F-00810";"120   ";143
783;"F-00810X";"120   ";227
742;"F-00811";"60   ";35
677;"F-00812";"120   ";183
704;"F-00813";"120   ";0
637;"F-00813X";"120   ";0
895;"F-00814";"120   ";44
820;"F-00814X";"120   ";366
1140;"F-00815";"60   ";442
902;"F-00816";"120   ";168
809;"F-00817";"60   ";15
457;"F-00818";"120   ";58
578;"F-00819";"120   ";29
315;"F-00820";"60   ";89
756;"F-00821";"120   ";48
721;"F-00821X";"120   ";133
779;"F-00825";"120   ";0
735;"F-00825X";"120   ";19
719;"F-00826";"120   ";233
651;"F-00826X";"120   ";50
607;"F-00826XX";"120   ";39
1085;"F-00827";"120   ";197
1052;"F-00827X";"120   ";135
1037;"F-00827XX";"120   ";48
423;"F-00829";"120   ";275
340;"F-00829X";"120   ";54
401;"F-00830";"120   ";223
336;"F-00830X";"120   ";110
378;"F-00831";"120   ";205
322;"F-00831X";"120   ";12
710;"F-00832";"120   ";395
642;"F-00832X";"120   ";86
390;"F-00833";"120   ";153
326;"F-00833X";"120   ";20
870;"F-00835";"60   ";373
314;"F-00837";"60   ";124
773;"F-00838";"120   ";48
733;"F-00838X";"120   ";81
757;"F-00839";"120   ";49
722;"F-00839X";"120   ";144
