"Product SKU";"Product Name";"Цена";"Остаток"
68;"F-00313X";"80   ";18
79;"F-00315";"50   ";19
849;"F-00319";"80   ";22
660;"F-00331";"80   ";255
369;"F-00332";"80   ";150
223;"F-00333";"80   ";13
654;"F-00339";"150   ";460
915;"F-00343";"150   ";298
3;"F-00355";"80   ";250
25;"F-00356";"80   ";114
931;"F-00358";"80   ";441
386;"F-00360";"150   ";86
325;"F-00360X";"150   ";85
291;"F-00360XX";"150   ";24
13;"F-00365";"50   ";4
87;"F-00366";"50   ";340
57;"F-00366X";"80   ";45
739;"F-00367";"80   ";74
117;"F-00368";"50   ";100
1137;"F-00368X";"80   ";60
549;"F-00369";"150   ";160
481;"F-00369X";"150   ";45
410;"F-00369XX";"150   ";37
674;"F-00371";"150   ";159
669;"F-00371M";"150   ";100
611;"F-00371X";"150   ";67
8;"F-00372";"150   ";565
666;"F-00373";"150   ";122
609;"F-00373X";"150   ";260
1008;"F-00374";"150   ";420
836;"F-00375";"150   ";50
770;"F-00375X";"150   ";30
709;"F-00376";"150   ";187
1161;"F-00376X";"150   ";250
600;"F-00377";"150   ";90
506;"F-00377X";"150   ";310
868;"F-00378";"150   ";1204
789;"F-00378X";"150   ";650
747;"F-00378XX";"150   ";218
680;"F-00380";"150   ";365
619;"F-00380X";"150   ";310
224;"F-00381";"150   ";19
187;"F-00381X";"150   ";100
1114;"F-00383";"150   ";274
415;"F-00387";"80   ";142
416;"F-00387M";"80   ";238
665;"F-00389";"80   ";300
871;"F-00394";"80   ";133
66;"F-00395";"50   ";315
281;"F-00396";"150   ";30
285;"F-00396M";"150   ";107
258;"F-00396X";"150   ";100
219;"F-00396XX";"150   ";122
433;"F-00397";"150   ";555
348;"F-00397X";"150   ";488
1106;"F-00398";"150   ";200
1097;"F-00398X";"150   ";150
1091;"F-00398XX";"150   ";71
616;"F-00399";"150   ";200
712;"F-00400";"150   ";79
644;"F-00400X";"150   ";5
691;"F-00401";"150   ";155
690;"F-00401A";"150   ";320
627;"F-00401AX";"150   ";135
629;"F-00401X";"150   ";75
294;"F-00402";"150   ";172
260;"F-00402X";"150   ";45
83;"F-00403";"50   ";170
58;"F-00403X";"80   ";40
865;"F-00404";"80   ";180
528;"F-00406";"150   ";275
470;"F-00406X";"150   ";100
454;"F-00407";"150   ";165
362;"F-00407X";"150   ";72
741;"F-00408";"80   ";897
855;"F-00409";"150   ";113
787;"F-00409X";"150   ";15
588;"F-00411";"150   ";366
26;"F-00414";"50   ";25
977;"F-00417";"150   ";257
982;"F-00417A";"150   ";98
944;"F-00417X";"150   ";115
89;"F-00418";"50   ";160
164;"F-00420";"80   ";40
109;"F-00421";"80   ";51
52;"F-00421X";"80   ";49
526;"F-00422";"80   ";83
539;"F-00423";"150   ";22
1163;"F-00423A";"150   ";23
473;"F-00423X";"150   ";310
1105;"F-00424";"150   ";329
204;"F-00425";"80   ";39
455;"F-00426";"150   ";165
363;"F-00426X";"150   ";52
913;"F-00431";"80   ";53
10;"F-00432";"80   ";62
916;"F-00433";"150   ";333
920;"F-00433A";"150   ";14
878;"F-00434";"80   ";22
937;"F-00435";"150   ";137
123;"F-00436";"80   ";130
268;"F-00440";"150   ";32
249;"F-00440X";"150   ";150
275;"F-00441";"150   ";90
253;"F-00441X";"150   ";75
216;"F-00441XX";"150   ";45
175;"F-00442";"80   ";308
1069;"F-00444";"150   ";387
1070;"F-00444M";"150   ";365
1042;"F-00444X";"150   ";300
1154;"F-00444XA";"150   ";89
1027;"F-00444XX";"150   ";36
395;"F-00445";"150   ";305
329;"F-00445X";"150   ";165
1063;"F-00446";"150   ";156
1062;"F-00446A";"150   ";0
692;"F-00447";"150   ";155
630;"F-00447X";"150   ";75
557;"F-00448";"150   ";155
490;"F-00448X";"150   ";125
1002;"F-00450";"150   ";165
959;"F-00450X";"150   ";35
1111;"F-00451";"250   ";0
1101;"F-00451X";"150   ";305
1095;"F-00451XX";"150   ";232
1152;"F-00458";"80   ";67
74;"F-00459";"80   ";389
54;"F-00464";"80   ";310
29;"F-00465";"80   ";267
550;"F-00467";"150   ";160
482;"F-00467X";"150   ";45
411;"F-00467XX";"150   ";37
27;"F-00473";"50   ";25
430;"F-00474";"150   ";237
346;"F-00474X";"150   ";180
696;"F-00475";"150   ";235
632;"F-00475X";"150   ";300
392;"F-00476";"150   ";150
330;"F-00476X";"150   ";160
881;"F-00478";"150   ";140
860;"F-00479";"80   ";180
861;"F-00479M";"150   ";95
658;"F-00483";"80   ";76
73;"F-00484";"50   ";824
55;"F-00484X";"80   ";189
551;"F-00485";"150   ";160
483;"F-00485X";"150   ";45
412;"F-00485XX";"150   ";37
980;"F-00486";"150   ";125
1004;"F-00486A";"150   ";22
948;"F-00486X";"150   ";75
929;"F-00486XX";"150   ";80
853;"F-00487";"80   ";133
570;"F-00488";"150   ";444
491;"F-00488X";"150   ";320
427;"F-00488XX";"150   ";185
523;"F-00489";"150   ";420
663;"F-00490";"80   ";75
873;"F-00492";"150   ";150
793;"F-00492X";"150   ";20
749;"F-00492XX";"150   ";161
174;"F-00493";"80   ";345
230;"F-00494";"150   ";433
191;"F-00494X";"150   ";430
179;"F-00494XX";"150   ";335
917;"F-00495";"80   ";202
383;"F-00496";"80   ";58
213;"F-00497";"150   ";480
184;"F-00497X";"150   ";435
178;"F-00497XX";"150   ";340
295;"F-00499";"150   ";212
261;"F-00499X";"150   ";45
699;"F-00501";"150   ";6
635;"F-00501X";"150   ";0
148;"F-00502";"80   ";150
22;"F-00506";"80   ";89
535;"F-00509";"150   ";136
240;"F-00512";"150   ";43
198;"F-00512X";"150   ";60
243;"F-00513";"150   ";41
447;"F-00515";"150   ";76
448;"F-00515M";"150   ";210
46;"F-00517";"50   ";20
597;"F-00518";"150   ";13
598;"F-00518M";"150   ";60
504;"F-00518X";"150   ";57
34;"F-00519";"80   ";2
653;"F-00520";"80   ";247
910;"F-00522";"150   ";234
9;"F-00523";"150   ";520
618;"F-00524";"150   ";148
575;"F-00524X";"150   ";245
246;"F-00526";"80   ";151
568;"F-00527";"150   ";263
111;"F-00529";"80   ";250
538;"F-00530";"80   ";94
173;"F-00531";"80   ";345
160;"F-00531X";"150   ";68
105;"F-00533";"50   ";295
586;"F-00534";"150   ";534
585;"F-00534A";"150   ";145
587;"F-00534M";"150   ";103
500;"F-00534X";"150   ";350
678;"F-00535";"150   ";307
617;"F-00535X";"150   ";18
971;"F-00537";"150   ";361
939;"F-00537X";"150   ";90
922;"F-00537XX";"150   ";350
972;"F-00539";"150   ";139
973;"F-00539M";"150   ";356
941;"F-00539X";"150   ";217
940;"F-00539XM";"150   ";463
830;"F-00540";"150   ";520
763;"F-00540X";"150   ";350
725;"F-00540XX";"150   ";349
675;"F-00541";"150   ";100
612;"F-00541X";"150   ";54
694;"F-00542";"150   ";0
695;"F-00542A";"150   ";300
697;"F-00542M";"150   ";235
633;"F-00542X";"150   ";24
421;"F-00543";"150   ";170
342;"F-00543X";"150   ";95
700;"F-00544";"150   ";6
706;"F-00544A";"150   ";143
636;"F-00544X";"150   ";0
676;"F-00545";"150   ";128
670;"F-00545M";"150   ";100
884;"F-00546";"150   ";15
885;"F-00546M";"150   ";120
798;"F-00546Х";"150   ";27
177;"F-00547";"150   ";242
168;"F-00547X";"150   ";70
879;"F-00548";"80   ";23
1126;"F-00549";"250   ";15
16;"F-00555";"80   ";61
24;"F-00556";"80   ";361
136;"F-00558";"50   ";100
127;"F-00558X";"80   ";50
1128;"F-00559";"250   ";29
1080;"F-00560";"150   ";58
1047;"F-00560X";"150   ";147
1033;"F-00560XX";"150   ";300
118;"F-00561";"50   ";110
1136;"F-00561X";"80   ";63
151;"F-00562";"80   ";120
1064;"F-00569";"150   ";303
1040;"F-00569X";"150   ";149
180;"F-00576";"150   ";120
1083;"F-00581";"150   ";220
1050;"F-00581X";"150   ";77
1032;"F-00582";"150   ";162
686;"F-00583";"150   ";235
856;"F-00584";"150   ";98
788;"F-00584X";"150   ";15
1005;"F-00585";"150   ";325
962;"F-00585X";"150   ";375
23;"F-00586";"80   ";353
1021;"F-00587";"150   ";203
1022;"F-00587M";"150   ";329
1013;"F-00587X";"150   ";457
1153;"F-00587XA";"150   ";100
989;"F-00587XX";"150   ";389
1020;"F-00588";"150   ";408
1012;"F-00588X";"150   ";345
986;"F-00588XX";"150   ";357
857;"F-00589";"150   ";70
869;"F-00589A";"150   ";221
872;"F-00589AM";"150   ";0
866;"F-00589M";"150   ";107
791;"F-00589X";"150   ";100
748;"F-00589XX";"150   ";226
313;"F-00590";"80   ";204
685;"F-00592";"150   ";114
621;"F-00592X";"150   ";126
983;"F-00593";"150   ";137
945;"F-00593X";"150   ";115
1151;"F-00594";"150   ";106
11;"F-00597";"80   ";94
462;"F-00599";"150   ";53
366;"F-00599X";"150   ";58
84;"F-00600";"50   ";170
59;"F-00600X";"80   ";40
393;"F-00601";"150   ";150
331;"F-00601X";"150   ";160
569;"F-00604";"150   ";218
176;"F-00605";"80   ";187
104;"F-00607";"50   ";798
4;"F-00608";"80   ";451
149;"F-00609";"80   ";69
417;"F-00612";"150   ";300
339;"F-00612X";"150   ";30
520;"F-00613";"150   ";94
81;"F-00619";"50   ";295
1011;"F-00622";"150   ";825
966;"F-00622X";"150   ";412
935;"F-00622XX";"150   ";120
838;"F-00624";"150   ";45
774;"F-00624X";"150   ";81
536;"F-00631";"150   ";133
38;"F-00632";"50   ";125
914;"F-00633";"80   ";80
1129;"F-00635A";"350   ";153
1127;"F-00639";"250   ";18
150;"F-00640";"80   ";105
122;"F-00641";"80   ";91
276;"F-00642";"150   ";88
254;"F-00642X";"150   ";75
217;"F-00642XX";"150   ";47
1076;"F-00644";"150   ";70
1122;"F-00647";"150   ";254
47;"F-00648";"50   ";20
376;"F-00651";"150   ";94
320;"F-00651X";"150   ";100
400;"F-00652";"150   ";199
335;"F-00652X";"150   ";105
554;"F-00653";"150   ";355
486;"F-00653X";"150   ";131
64;"F-00657";"50   ";121
573;"F-00658";"150   ";51
161;"F-00659";"150   ";77
591;"F-00661";"150   ";217
592;"F-00661M";"150   ";141
886;"F-00662";"150   ";15
887;"F-00662M";"150   ";112
799;"F-00662Х";"150   ";27
137;"F-00663";"50   ";100
128;"F-00663X";"80   ";50
143;"F-00666";"50   ";150
171;"F-00667";"80   ";200
162;"F-00667X";"150   ";83
440;"F-00668";"150   ";98
354;"F-00668X";"150   ";86
584;"F-00669";"150   ";105
498;"F-00669X";"150   ";117
227;"F-00670";"150   ";57
231;"F-00670A";"150   ";21
192;"F-00670AX";"150   ";28
188;"F-00670X";"150   ";100
777;"F-00671";"150   ";130
734;"F-00671X";"150   ";90
241;"F-00672";"150   ";35
199;"F-00672X";"150   ";60
932;"F-00673";"80   ";153
918;"F-00673X";"150   ";144
664;"F-00675";"80   ";75
113;"F-00677";"50   ";11
1072;"F-00678";"150   ";450
1043;"F-00678X";"150   ";155
207;"F-00680";"80   ";90
138;"F-00681";"50   ";100
129;"F-00681X";"80   ";50
850;"F-00682";"80   ";101
730;"F-00683";"150   ";65
701;"F-00683X";"150   ";6
32;"F-00687";"150   ";119
114;"F-00688";"50   ";44
17;"F-00689";"80   ";64
679;"F-00694";"150   ";164
687;"F-00695";"150   ";235
530;"F-00696";"80   ";93
831;"F-00697";"150   ";111
817;"F-00698";"150   ";392
755;"F-00698X";"150   ";155
984;"F-00704";"150   ";265
898;"F-00706";"150   ";265
806;"F-00706X";"150   ";281
897;"F-00709";"150   ";515
463;"F-00712";"150   ";159
542;"F-00713";"150   ";156
475;"F-00713X";"150   ";290
599;"F-00714";"150   ";60
505;"F-00714X";"150   ";60
422;"F-00716";"150   ";170
343;"F-00716X";"150   ";95
434;"F-00717";"150   ";560
1006;"F-00718";"150   ";375
963;"F-00718X";"150   ";9
999;"F-00719";"150   ";105
957;"F-00719X";"150   ";195
172;"F-00720";"80   ";200
540;"F-00721";"80   ";480
529;"F-00724";"150   ";275
471;"F-00724X";"150   ";100
992;"F-00725";"150   ";300
952;"F-00725X";"150   ";380
7;"F-00726";"150   ";580
967;"F-00727";"150   ";18
909;"F-00729";"150   ";30
577;"F-00731";"150   ";28
814;"F-00734";"150   ";361
751;"F-00734X";"150   ";467
815;"F-00735";"150   ";175
752;"F-00735X";"150   ";340
1067;"F-00737";"150   ";70
1068;"F-00737M";"150   ";75
1041;"F-00737X";"150   ";145
379;"F-00738";"150   ";335
269;"F-00739";"150   ";88
250;"F-00739X";"150   ";150
77;"F-00740";"50   ";612
51;"F-00741";"80   ";210
1089;"F-00742";"150   ";320
893;"F-00743";"150   ";40
803;"F-00743X";"150   ";45
12;"F-00744";"80   ";98
1084;"F-00745";"150   ";220
1051;"F-00745X";"150   ";77
245;"F-00748";"80   ";22
888;"F-00749";"150   ";75
800;"F-00749Х";"150   ";27
906;"F-00750";"150   ";96
841;"F-00751";"150   ";500
907;"F-00752";"150   ";137
778;"F-00752XX";"150   ";45
874;"F-00754";"150   ";150
794;"F-00754X";"150   ";20
1007;"F-00755";"150   ";0
964;"F-00755X";"150   ";19
934;"F-00755XX";"150   ";325
997;"F-00756";"150   ";105
958;"F-00756X";"150   ";30
308;"F-00758";"80   ";207
208;"F-00759";"80   ";89
981;"F-00762";"150   ";125
949;"F-00762X";"150   ";75
930;"F-00762XX";"150   ";80
516;"F-00764";"150   ";160
484;"F-00764X";"150   ";45
413;"F-00764XX";"150   ";37
812;"F-00765";"150   ";375
745;"F-00765X";"150   ";145
837;"F-00766";"150   ";54
771;"F-00766X";"150   ";41
80;"F-00769";"50   ";20
41;"F-00771";"50   ";63
85;"F-00779";"50   ";170
60;"F-00779X";"80   ";45
711;"F-00780";"150   ";124
643;"F-00780X";"150   ";180
33;"F-00781X";"80   ";18
39;"F-00782";"50   ";132
377;"F-00783";"150   ";141
321;"F-00783X";"150   ";100
1147;"F-00786";"80   ";187
1146;"F-00786X";"80   ";220
605;"F-00788";"80   ";85
212;"F-00796";"150   ";139
183;"F-00796X";"150   ";57
242;"F-00797";"150   ";45
200;"F-00797X";"150   ";60
1144;"F-00798";"150   ";429
991;"F-00800";"150   ";213
951;"F-00800X";"150   ";340
1001;"F-00801";"150   ";165
960;"F-00801X";"150   ";80
1077;"F-00803";"150   ";70
1123;"F-00804";"250   ";27
228;"F-00806";"150   ";7
189;"F-00806X";"150   ";100
234;"F-00807";"150   ";150
194;"F-00807X";"150   ";155
602;"F-00808";"150   ";70
818;"F-00809";"150   ";215
842;"F-00810";"150   ";250
783;"F-00810X";"150   ";218
742;"F-00811";"80   ";315
677;"F-00812";"150   ";117
704;"F-00813";"150   ";5
637;"F-00813X";"150   ";0
895;"F-00814";"150   ";40
820;"F-00814X";"150   ";360
1140;"F-00815";"80   ";437
902;"F-00816";"150   ";168
809;"F-00817";"80   ";15
457;"F-00818";"150   ";34
578;"F-00819";"150   ";22
315;"F-00820";"80   ";150
756;"F-00821";"150   ";155
721;"F-00821X";"150   ";137
1165;"F-00824";"150   ";242
779;"F-00825";"150   ";130
735;"F-00825X";"150   ";90
719;"F-00826";"150   ";238
651;"F-00826X";"150   ";345
607;"F-00826XX";"150   ";180
1085;"F-00827";"150   ";174
1052;"F-00827X";"150   ";430
1037;"F-00827XX";"150   ";39
423;"F-00829";"150   ";170
340;"F-00829X";"150   ";30
401;"F-00830";"150   ";213
336;"F-00830X";"150   ";105
378;"F-00831";"150   ";161
322;"F-00831X";"150   ";100
710;"F-00832";"150   ";372
642;"F-00832X";"150   ";250
390;"F-00833";"150   ";135
326;"F-00833X";"150   ";85
870;"F-00835";"80   ";357
314;"F-00837";"80   ";150
