95,"F-00011",100,6
266,"F-00019",100,175
1179,"F-00030",100,18
305,"F-00032",100,127
306,"F-00036",100,115
96,"F-00037",100,213
93,"F-00039",100,81
94,"F-00040",100,81
44,"F-00051",100,49
14,"F-00052",100,149
142,"F-00054",100,13
145,"F-00058",100,246
134,"F-00063",100,102
2,"F-00074",100,198
37,"F-00080",100,68
304,"F-00082",100,227
112,"F-00087",100,48
76,"F-00110",100,120
78,"F-00111",100,217
82,"F-00114",100,120
48,"F-00117",100,181
307,"F-00118",100,86
63,"F-00136",100,84
40,"F-00152",100,52
28,"F-00154",100,228
36,"F-00182",100,198
45,"F-00183",100,72
53,"F-00185",100,237
88,"F-00187",100,125
65,"F-00189",100,269
135,"F-00297",100,80
72,"F-00313",100,328
79,"F-00315",100,118
3,"F-00355",100,246
13,"F-00365",100,97
87,"F-00366",100,309
117,"F-00368",100,59
66,"F-00395",100,368
83,"F-00403",100,120
1172,"F-00413",100,37
26,"F-00414",100,57
89,"F-00418",100,198
27,"F-00473",100,151
73,"F-00484",100,1215
46,"F-00517",100,74
105,"F-00533",100,270
136,"F-00558",100,101
118,"F-00561",100,119
84,"F-00600",100,120
104,"F-00607",100,475
81,"F-00619",100,280
38,"F-00632",100,98
47,"F-00648",100,72
64,"F-00657",100,98
137,"F-00663",100,86
143,"F-00666",100,96
113,"F-00677",100,70
138,"F-00681",100,95
114,"F-00688",100,70
77,"F-00740",100,153
308,"F-00758",100,169
80,"F-00769",100,134
41,"F-00771",100,67
85,"F-00779",100,120
39,"F-00782",100,60
97,"F-00849",100,111
42,"F-00855",100,75
267,"F-00865",100,155
116,"F-00868",100,173
144,"F-00884",100,108
139,"F-00887",100,101
115,"F-00895",100,174
49,"F-00959",100,162
20,"F-00976",100,301
140,"F-00978",100,40
75,"F-00993",100,342
69,"F-00993X",100,386
90,"F-01051",100,100
91,"F-01052",100,201
309,"F-01065",100,140
86,"F-01072",100,120
43,"F-01091",100,76
98,"F-01100",100,94
99,"F-01105",100,126
67,"F-01140",100,43
141,"F-01159",100,114
1131,"F-00041",140,443
531,"F-00009",140,72
1132,"F-00011X",140,19
1155,"F-00022XA",140,48
657,"F-00025",140,175
858,"F-00026",140,31
202,"F-00027",140,431
372,"F-00028",140,749
92,"F-00030A",140,352
560,"F-00031",140,143
1133,"F-00037X",140,48
990,"F-00046",140,393
661,"F-00047",140,40
396,"F-00048",140,36
1156,"F-00057XA",140,50
1170,"F-00061",140,248
968,"F-00062",140,23
125,"F-00063X",140,24
1178,"F-00065",140,109
205,"F-00069",140,23
380,"F-00078",140,60
912,"F-00081",140,74
311,"F-00086",140,570
848,"F-00088",140,82
371,"F-00089",140,495
270,"F-00089X",140,166
563,"F-00096",140,179
272,"F-00097",140,340
1174,"F-00099",140,0
461,"F-00099A",140,89
158,"F-00100",140,121
157,"F-00100A",140,298
740,"F-00101",140,89
166,"F-00104",140,40
163,"F-00108",140,158
165,"F-00109",140,543
1138,"F-00109X",140,402
908,"F-00113",140,640
56,"F-00114X",140,8
662,"F-00124",140,33
312,"F-00130",140,585
846,"F-00132",140,66
847,"F-00134",140,74
133,"F-00138",140,215
100,"F-00140",140,28
652,"F-00141",140,322
864,"F-00142",140,28
107,"F-00143",140,92
106,"F-00144",140,82
108,"F-00145",140,99
119,"F-00146",140,54
21,"F-00148",140,66
15,"F-00149",140,26
147,"F-00153",140,135
120,"F-00158",140,122
121,"F-00163",140,94
70,"F-00163X",140,229
50,"F-00164",140,203
30,"F-00165",140,199
152,"F-00166",140,58
170,"F-00168",140,152
852,"F-00169",140,112
102,"F-00184",140,309
159,"F-00186",140,150
156,"F-00186A",140,1
167,"F-00191",140,169
206,"F-00193",140,30
287,"F-00194",140,380
293,"F-00195",140,216
525,"F-00196",140,0
532,"F-00199",140,159
891,"F-00204",140,116
667,"F-00206",140,1212
987,"F-00208",140,93
970,"F-00209",140,171
382,"F-00295",140,80
310,"F-00296",140,369
126,"F-00297X",140,24
521,"F-00301",140,16
659,"F-00303",140,74
222,"F-00304",140,35
71,"F-00307",140,288
103,"F-00308",140,164
656,"F-00309",140,307
524,"F-00311",140,82
522,"F-00312",140,23
68,"F-00313X",140,103
849,"F-00319",140,234
660,"F-00331",140,189
369,"F-00332",140,176
223,"F-00333",140,39
25,"F-00356",140,79
931,"F-00358",140,201
57,"F-00366X",140,19
739,"F-00367",140,286
1137,"F-00368X",140,43
1169,"F-00378A",140,400
415,"F-00387",140,83
416,"F-00387M",140,220
665,"F-00389",140,239
871,"F-00394",140,368
58,"F-00403X",140,19
865,"F-00404",140,191
741,"F-00408",140,391
164,"F-00420",140,162
109,"F-00421",140,70
52,"F-00421X",140,41
526,"F-00422",140,0
204,"F-00425",140,10
913,"F-00431",140,140
10,"F-00432",140,28
878,"F-00434",140,34
123,"F-00436",140,108
175,"F-00442",140,202
1154,"F-00444XA",140,70
1152,"F-00458",140,22
74,"F-00459",140,462
54,"F-00464",140,297
29,"F-00465",140,255
860,"F-00479",140,155
658,"F-00483",140,193
55,"F-00484X",140,104
853,"F-00487",140,78
663,"F-00490",140,60
174,"F-00493",140,80
917,"F-00495",140,33
383,"F-00496",140,50
148,"F-00502",140,139
22,"F-00506",140,78
34,"F-00519",140,146
653,"F-00520",140,207
246,"F-00526",140,93
111,"F-00529",140,215
538,"F-00530",140,0
173,"F-00531",140,107
879,"F-00548",140,16
16,"F-00555",140,35
24,"F-00556",140,296
127,"F-00558X",140,13
1136,"F-00561X",140,55
151,"F-00562",140,16
23,"F-00586",140,313
1153,"F-00587XA",140,161
313,"F-00590",140,171
11,"F-00597",140,56
59,"F-00600X",140,10
176,"F-00605",140,213
4,"F-00608",140,443
149,"F-00609",140,61
914,"F-00633",140,137
150,"F-00640",140,75
122,"F-00641",140,73
128,"F-00663X",140,27
171,"F-00667",140,219
932,"F-00673",140,110
664,"F-00675",140,59
207,"F-00680",140,60
129,"F-00681X",140,15
850,"F-00682",140,270
17,"F-00689",140,42
530,"F-00696",140,61
172,"F-00720",140,235
