"Product SKU","Product Name","Price","Quantity","size"
"O-02937","O-02937","40","20","55*61*3"
"O-02777A","O-02777A","40","20","55*59*2"
"O-03045","O-03045","80","20","54*62*4"
"O-02935A","O-02935A","40","20","54*60*3"
"O-02757","O-02757","40","20","54*58*2"
"O-02936A","O-02936A","60","20","53*59*3"
"O-02777","O-02777","40","20","53*57*2"
"O-02936","O-02936","60","20","52*58*3"
"O-02752","O-02752","40","20","52*56*2"
"O-03041","O-03041","60","20","50*58*4"
"O-02934","O-02934","40","20","50*56*3"
"O-02859B","O-02859B","40","20","50*55*2.5"
"O-02776","O-02776","40","20","50*54*2"
"O-02614","O-02614","20","14","5.5*8.5*1.5"
"O-02802","O-02802","20","13","5*10*2.5"
"O-02706","O-02706","20","0","5*9*2"
"O-02613","O-02613","20","13","5*8*1.5"
"O-03039","O-03039","60","20","49*57*4"
"O-02933A","O-02933A","60","19","49*55*3"
"O-02837","O-02837","60","20","49*54*2.5"
"O-02775A","O-02775A","40","20","49*53*2"
"O-03038","O-03038","60","20","48*56*4"
"O-02933","O-02933","40","20",""
"O-02859A","O-02859A","40","20","48*53*2.5"
"O-02750","O-02750","40","10","48*52*2"
"O-03037","O-03037","60","20","47*55*4"
"O-02932A","O-02932A","40","20","47*53*3"
"O-02859","O-02859","40","20","47*52*2.5"
"O-02775","O-02775","40","150","47*51*2"
"O-02677","O-02677","40","20","47*50*1.5"
"O-02932","O-02932","40","20","46*52*3"
"O-02748","O-02748","40","15","46*50*2"
"O-03035","O-03035","60","20","45*53*4"
"O-02747","O-02747","40","15","45*49*2"
"O-02675","O-02675","40","20","45*48*1.5"
"O-03034","O-03034","60","20","44*52*4"
"O-02931","O-02931","40","105","44*50*3"
"O-02746","O-02746","40","15","44*48*2"
"O-03033","O-03033","60","64","43*51*4"
"O-02745","O-02745","40","15","43*47*2"
"O-03032","O-03032","60","20","42*50*4"
"O-02928","O-02928","40","20","42*48*3"
"O-02857A","O-02857A","40","20","42*47*2,5"
"O-02774A","O-02774A","20","60","42*46*2"
"O-02672","O-02672","40","20","42*45*1.5"
"O-02774","O-02774","60","15","41*45*2"
"O-03030","O-03030","40","18","40*48*4"
"O-02856B","O-02856B","40","25","40*45*2.5"
"O-02773A","O-02773A","20","60","40*44*2"
"O-02630","O-02630","20","20","40*43*1,5"
"O-02704","O-02704","20","13","4*8*2"
"O-02606","O-02606","20","14","4*7*1.5"
"O-03040","O-03040","40","20","39*47*4"
"O-03029","O-03029","60","20","38*46*4"
"O-02926","O-02926","40","100","38*44*3"
"O-02855A","O-02855A","40","229","38*43*2.5"
"O-02667","O-02667","40","20","38*41*1.5"
"O-02925A","O-02925A","40","65","37*43*3"
"O-02731","O-02731","20","95","37*41*2"
"O-03027","O-03027","60","20","36*44*4"
"O-02925V","O-02925V","40","65","36*42*3"
"O-02730","O-02730","20","15","36*40*2"
"O-03026","O-03026","40","20","35*43*4"
"O-02854B","O-02854B","20","239","35*40*2.5"
"O-02720","O-02720","20","55","35*39*2"
"O-03025","O-03025","40","20","34*42*4"
"O-02721","O-02721","40","56","34*38*2"
"O-03024","O-03024","40","19","33*41*4"
"O-02772","O-02772","20","9","33*37*2"
"O-03023","O-03023","40","20","32*40*4"
"O-02923","O-02923","20","30","32*38*3"
"O-02719","O-02719","20","15","32*36*2"
"O-02659","O-02659","40","100","32*35*1.5"
"O-03022","O-03022","40","20","31*39*4"
"O-02930","O-02930","40","20","31*37*3"
"O-02771A","O-02771A","40","13","31*35*2"
"O-03021","O-03021","40","20","30*38*4"
"O-02929","O-02929","40","64","30*36*3"
"O-02718","O-02718","20","15","30*34*2"
"O-02702","O-02702","20","14","3*7*2"
"O-03019","O-03019","40","20","29*37*4"
"O-02769","O-02769","20","0","29*33*2"
"O-02654","O-02654","20","25","29*32*1.5"
"O-02922","O-02922","20","20","28*34*3"
"O-02768","O-02768","20","0","28*32*2"
"O-02652","O-02652","20","20","28*31*1.5"
"O-03017","O-03017","40","19","27*35*4"
"O-02921A","O-02921A","20","20","27*33*3"
"O-02766","O-02766","20","0","27*31*2"
"O-02612","O-02612","20","20","27*30*1.5"
"O-02921","O-02921","40","20","26*32*3"
"O-02717","O-02717","20","0","26*30*2"
"O-02649","O-02649","20","20","26*29*1.5"
