"Product SKU","Product Name","Price","Quantity"
"8055","RK8055","1520","107"
"8054","RK8054","1420","45"
"8053","RK8053","1360","58"
"8052","RK8052","1360","55"
"8051","RK8051","1280","117"
"8050","RK8050","1280","115"
"8049","RK8049","1320","27"
"8048","RK8048","1320","30"
"8047","RK8047","1320","29"
"8046","RK8046","1320","33"
"8045","RK8045","1320","41"
"8044","RK8044","1320","37"
"8043","RK8043","1480","81"
"8042","RK8042","1340","98"
"8041","RK8041","1360","35"
"8040","RK8040","1480","108"
"8039","RK8039","1380","83"
"8038","RK8038","1360","113"
"8037","RK8037","1320","51"
"8036","RK8036","1380","48"
"8035","RK8035","1360","37"
"8034","RK8034","1380","55"
"8033","RK8033","1340","38"
"8032","RK8032","1380","94"
"8031","RK8031","1300","85"
"8030","RK8030","1380","33"
"8029","RK8029","1340","24"
"8028","RK8028","1420","55"
"8027","RK8027","1420","61"
"8026","RK8026","1320","53"
"8025","RK8025","1320","38"
"8024","RK8024","1360","58"
"8023","RK8023","1360","44"
"8022","RK8022","1340","37"
"8021","RK8021","1380","54"
"8020","RK8020","1380","61"
"8019","RK8019","1360","49"
"8018","RK8018","1360","45"
"8017","RK8017","1380","38"
"8016","RK8016","1340","67"
"8015","RK8015","1340","84"
"8014","RK8014","1280","62"
"8013","RK8013","1360","58"
"8012","RK8012","1360","76"
"8011","RK8011","1380","44"
"8010","RK8010","1340","65"
"8009","RK8009","1380","74"
"8008","RK8008","1320","58"
"8007","RK8007","1340","24"
"8006","RK8006","1300","45"
"8005","RK8005","1320","35"
