"Product SKU","Product Name","Price","Quantity","size","tcs","tip"
"","3180","","","","",""
"3179","3179","","3","","",""
"3178","3178","","3","","",""
"3177","3177","","10","","",""
"3176","3176","","5","","",""
"3175","3175","","3","","",""
"3174","3174","","20","","",""
"3173","3173","","18","","",""
"3172","3172","","3","","",""
"3171","3171","","3","","",""
"3170","3170","","7","","",""
"3169","3169","","3","","",""
"3168","3168","","3","","",""
"3167","3167","","37","","",""
"3166","3166","","3","","",""
"3165","3165","","3","","",""
"3164","3164","","3","","",""
"3163","3163","","3","","",""
"3162","3162","","3","","",""
"3161","3161","","3","","",""
"3160","3160","","3","","",""
"3159","3159","","1","","",""
"3158","3158","","9","","",""
"3157","3157","","3","","",""
"3156","3156","","7","","",""
"3155","3155","","1","","",""
"3154","3154","","3","","",""
"3153","3153","","4","","",""
"3152","3152","","5","","",""
"3151","3151","","3","","",""
"3150","3150","","3","","",""
"3149","3149","","3","","",""
"3148","3148","","3","","",""
"3147","3147","","3","","",""
"3146","3146","","17","","",""
"3145","3145","","18","","",""
"3144","3144","","3","","",""
"3143","3143","","3","","",""
"3142","3142","","3","","",""
"3141","3141","","3","","",""
"3140","3140","","3","","",""
"3139","3139","","3","","",""
"3138","3138","","21","","",""
"3137","3137","","3","","",""
"3136","3136","","1","","",""
"3135","3135","","3","","",""
"3134","3134","","3","","",""
"3133","3133","","27","","",""
"3132","3132","","5","","",""
"3131","3131","","2","","",""
"1175","F-00718XX","200","150","29*50*10","P08892","7V1"
"3130","3130","","2","","",""
"3129","3129","","18","","",""
"3128","3128","","18","","",""
"3127","3127","","3","","",""
"3126","3126","","3","","",""
"3125","3125","","3","","",""
"3124","3124","","1","","",""
"3123","3123","","3","","",""
"3122","3122","","3","","",""
"3121","3121","","18","","",""
"3120","3120","","3","","",""
"3119","3119","","3","","",""
"3118","3118","","6","","",""
"3117","3117","","17","","",""
"3116","3116","","18","","",""
"3115","3115","","17","","",""
"3114","3114","","18","","",""
"3113","3113","","3","","",""
"3112","3112","","3","","",""
"3111","3111","","18","","",""
"3110","3110","","3","","",""
"3109","3109","","3","","",""
"3108","3108","","3","","",""
"3107","3107","","18","","",""
"3106","3106","","3","","",""
"3105","3105","","3","","",""
"3104","3104","","18","","",""
"3103","3103","","3","","",""
"3102","3102","","3","","",""
"3101","3101","","5","","",""
"3100","3100","","3","","",""
"3099","3099","","3","","",""
"3098","3098","","3","","",""
"3097","3097","","3","","",""
"3096","3096","","3","","",""
"3095","3095","","3","","",""
"3094","3094","","3","","",""
"3093","3093","","3","","",""
"3092","3092","","3","","",""
"3091","3091","","3","","",""
"3090","3090","","3","","",""
"3089","3089","","3","","",""
"3088","3088","","3","","",""
"3087","3087","","4","","",""
"3086","3086","","3","","",""
"3085","3085","","3","","",""
"3084","3084","","3","","",""
"3083","3083","","11","","",""
"3082","3082","","3","","",""
"3081","3081","","3","","",""
"3080","3080","","3","","",""
"3079","3079","","3","","",""
"3078","3078","","3","","",""
"3077","3077","","1","","",""
"3076","3076","","3","","",""
"3075","3075","","3","","",""
"3074","3074","","17","","",""
"3073","3073","","18","","",""
"3072","3072","","19","","",""
"3071","3071","","3","","",""
"3070","3070","","18","","",""
"3069","3069","","3","","",""
"3068","3068","","13","","",""
"3067","3067","","6","","",""
"3066","3066","","3","","",""
"3065","3065","","3","","",""
"3064","3064","","3","","",""
"3063","3063","","1","","",""
"3062","3062","","1","","",""
"3061","3061","","2","","",""
"3060","3060","","3","","",""
"3059","3059","","1","","",""
"3058","3058","","18","","",""
"1174","F-00099","100","1","24*43*8.5","P02670","1PM"
"3057","3057","","17","","",""
"3056","3056","","6","","",""
"3055","3055","","3","","",""
"3054","3054","","5","","",""
"3053","3053","","3","","",""
"3052","3052","","14","","",""
"3051","3051","","7","","",""
"3050","3050","","7","","",""
"3049","3049","","2","","",""
"3048","3048","","3","","",""
"3047","3047","","4","","",""
"3046","3046","","3","","",""
"3045","3045","","3","","",""
"3044","3044","","7","","",""
"3043","3043","","3","","",""
"3042","3042","","0","","",""
"3041","3041","","17","","",""
"3040","3040","","3","","",""
"3039","3039","","3","","",""
"3038","3038","","17","","",""
"3037","3037","","17","","",""
"3036","3036","","3","","",""
"3035","3035","","3","","",""
"3034","3034","","3","","",""
"3033","3033","","2","","",""
"3032","3032","","3","","",""
"3031","3031","","9","","",""
"3030","3030","","3","","",""
"3029","3029","","3","","",""
"3028","3028","","18","","",""
"3027","3027","","8","","",""
"3026","3026","","16","","",""
"3025","3025","","18","","",""
"3024","3024","","3","","",""
"3023","3023","","18","","",""
"3022","3022","","3","","",""
"3021","3021","","5","","",""
"3020","3020","","3","","",""
"3019","3019","","3","","3019",""
"3018","3018","150","19","","",""
"3017","3017","100","3","","",""
"3016","3016","130","2","","",""
"3015","3015","100","2","","",""
"3014","3014","850","1","","",""
"3013","3013","300","1","","",""
"3012","3012","300","2","","",""
"3011","3011","300","7","","",""
"3010","3010","70","47","","",""
"3009","3009","200","48","","",""
"3008","3008","70","98","","",""
"3007","3007","70","100","","",""
"1172","F-00413","70","77","20*32*7","P10869","1PM"
"1171","F-00513AX","200","50","21.5*39*8.5","P11440","7V1"
"1170","F-00061","100","298","22*32*7/8","P11606","1PM"
"2003","A00625","20","75","","",""
"2002","A00679","20","155","","",""
"2001","A00706","20","166","","",""
"3006","3006","200","19","","",""
"3005","3005","200","19","","",""
"1169","F-00378A","100","460","28*38*7/9","P08458","7V3"
"3004","3004","200","19","","",""
"3003","3003","100","19","","",""
"3002","3002","100","48","","",""
"3001","3001","200","15","","",""
"3000","3000","200","13","35*47*7
","P11499",""
"2000","A00733","20","266","23*28*2.5","",""
