"Parent ID","Product ID","Product SKU","Product Name","Permalink","Product Published","Category","Product URL"
"","8299","A00536","A00536","http://rti-baltika.ru/product/o-02739/","13/05/2015","Резиновые кольца",""
"","8298","A00534","A00534","http://rti-baltika.ru/product/o-02607/","13/05/2015","Резиновые кольца",""
"","8297","A00532","A00532","http://rti-baltika.ru/product/o-02531/","13/05/2015","Резиновые кольца",""
"","8296","A00509","A00509","http://rti-baltika.ru/product/o-03006/","13/05/2015","Резиновые кольца",""
"","8295","A00508","A00508","http://rti-baltika.ru/product/o-02916/","13/05/2015","Резиновые кольца",""
"","8292","A00507","A00507","http://rti-baltika.ru/product/o-02816/","13/05/2015","Резиновые кольца",""
"","8291","A00506","A00506","http://rti-baltika.ru/product/o-02737/","13/05/2015","Резиновые кольца",""
"","8290","A00503","A00503","http://rti-baltika.ru/product/o-02633/","13/05/2015","Резиновые кольца",""
"","8288","A00500","A00500","http://rti-baltika.ru/product/o-02529/","13/05/2015","Резиновые кольца",""
"","8287","A00479","A00479","http://rti-baltika.ru/product/o-02914/","13/05/2015","Резиновые кольца",""
"","8286","A00478","A00478","http://rti-baltika.ru/product/o-02826/","13/05/2015","Резиновые кольца",""
"","8285","A00476","A00476","http://rti-baltika.ru/product/o-02735/","13/05/2015","Резиновые кольца",""
"","8283","A00474","A00474","http://rti-baltika.ru/product/o-02631/","13/05/2015","Резиновые кольца",""
"","8282","A00473","A00473","http://rti-baltika.ru/product/o-02527/","13/05/2015","Резиновые кольца",""
"","8281","A00440","A00440","http://rti-baltika.ru/product/o-02913/","13/05/2015","Резиновые кольца",""
"","8280","A00439","A00439","http://rti-baltika.ru/product/o-02813/","13/05/2015","Резиновые кольца",""
"","8278","A04110","A04110","http://rti-baltika.ru/product/o-02733/","13/05/2015","Резиновые кольца",""
"","8276","A00435","A00435","http://rti-baltika.ru/product/o-02629/","13/05/2015","Резиновые кольца",""
"","8275","A00433","A00433","http://rti-baltika.ru/product/o-02525/","13/05/2015","Резиновые кольца",""
"","8274","A02145","A02145","http://rti-baltika.ru/product/o-02971/","13/05/2015","Резиновые кольца",""
"","8273","A00405","A00405","http://rti-baltika.ru/product/o-03003/","13/05/2015","Резиновые кольца",""
"","8272","A00402","A00402","http://rti-baltika.ru/product/o-02912/","13/05/2015","Резиновые кольца",""
