"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Description","Excerpt","Product Published","Product Modified","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","File Download","Download Limit","Download Expiry","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","Product URL","Button Text","Purchase Note","Product Status","Comment Status","size","tcs","tip","marka","god","baltika","naznachenie","primmenenie"
"","","2586","1","F-0000A","f-00074","http://artibaltika/product/f-00074/","AUDI 100, A6","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","330","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","55","In Stock","No","No","","","","","","Publish","Open","09,7*13,2*3","P55501","L-RING","","","","",""
"","","2587","2","F-00074","f-00355","http://artibaltika/product/f-00355/","OPEL","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","132","In Stock","No","No","","","","","","Publish","Open","10*20*7.5","P11616","0M","","","","",""
"","","2588","3","F-00355","f-00608","http://artibaltika/product/f-00608/","DAEWOO","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","196","In Stock","No","No","","","","","","Publish","Open","10*20*7.5","P11616","0M","","","","",""
"","","2589","4","F-00608","f-00102","http://artibaltika/product/f-00102/","CHRYSLER","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","170","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","434","In Stock","No","No","","","","","","Publish","Open","11.7*22*6/8.5","P55503","1РМ2","","","","",""
"","","2590","5","F-00102","f-00178","http://artibaltika/product/f-00178/","CHEVROLET","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","300","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","149","In Stock","No","No","","","","","","Publish","Open","12*27*9/10","P08350","7V1PM","","","","",""
"","","2591","6","F-00178","f-00726","http://artibaltika/product/f-00726/","OPEL","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","300","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","Taxable","","","","","Yes","218","In Stock","No","No","","","","","","Publish","Open","12*27*9/10","P08350","7V1PM","","","","",""
"","","2592","7","F-00726","f-00372","http://artibaltika/product/f-00372/","CHRYSLER, DODGE","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","300","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","536","In Stock","No","No","","","","","","Publish","Open","12*38*10","P08349","7V2","","","","",""
"","","2593","8","F-00372","f-00523","http://artibaltika/product/f-00523/","OPEL","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","300","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","20","In Stock","No","No","","","","","","Publish","Open","14*27*9/10","P08351","7V1PM","","","","",""
"","","2594","9","F-00523","f-00432","http://artibaltika/product/f-00432/","CHRYSLER","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","300","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","601","In Stock","No","No","","","","","","Publish","Open","14*30.5/38.4*5/11","P08352","6V3","","","","",""
"","","2595","10","F-00432","f-00597","http://artibaltika/product/f-00597/","OPEL","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","0","Out of Stock","No","No","","","","","","Publish","Open","15*28*6.3","P01997","1РМA","","","","",""
"","","2596","11","F-00597","f-00744","http://artibaltika/product/f-00744/","SUBARU","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","0","Out of Stock","No","No","","","","","","Publish","Open","15*28*6.3","P01997","1РМA","","","","",""
"","","2597","12","F-00744","f-00365","http://artibaltika/product/f-00365/","DAEWOO","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","0","Out of Stock","No","No","","","","","","Publish","Open","15*28*6.3","P01997","1РМA","","","","",""
"","","2598","13","F-00365","f-00052","http://artibaltika/product/f-00052/","AUDI, BMW","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","370","In Stock","No","No","","","","","","Publish","Open","16*26*5/6 ","P09101","1РМ","","","","",""
"","","2599","14","F-00052","f-00555","http://artibaltika/product/f-00555/","AUDI ","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","72","In Stock","No","No","","","","","","Publish","Open","16*28*7","P13266","1РМ","","","","",""
"","","2600","15","F-00149","f-00149","http://artibaltika/product/f-00149/","FORD MONDEO","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","58","In Stock","No","No","","","","","","Publish","Open","16*30*6.3","P05954","1РМA","","","","",""
"","","2601","16","F-00555","f-00894","http://artibaltika/product/f-00894/","FORD TEMPO","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","84","In Stock","No","No","","","","","","Publish","Open","16*30*6.3","P05954","1РМA","","","","",""
"","","2602","17","F-00689","f-00689","http://artibaltika/product/f-00689/","FIAT","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","22","In Stock","No","No","","","","","","Publish","Open","16*30*6.3","P05954","1РМA","","","","",""
"","","2603","18","F-00894","f-01106","http://artibaltika/product/f-01106/","FORD TRANSIT","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","39","In Stock","No","No","","","","","","Publish","Open","16*30*6.3","P05954","1РМA","","","","",""
"","","2604","19","F-01106","f-00976","http://artibaltika/product/f-00976/","FORD FOCUS","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","63","In Stock","No","No","","","","","","Publish","Open","16*30*6.3","P05954","1РМA","","","","",""
"","","2605","20","F-00976","f-00148","http://artibaltika/product/f-00148/","MERCEDES","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","100","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","283","In Stock","No","No","","","","","","Publish","Open","16.9*27*5/6 ","P01992","1РМ","","","","",""
"","","2606","21","F-00148","f-00506","http://artibaltika/product/f-00506/","VOLVO","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","39","In Stock","No","No","","","","","","Publish","Open","17*28*8","P02277","0M2","","","","",""
"","","2607","22","F-00506","f-00606","http://artibaltika/product/f-00606/","FIAT DUKATO","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","49","In Stock","No","No","","","","","","Publish","Open","17*28*8","P02277","0M2","","","","",""
"","","2608","23","F-00586","f-00356","http://artibaltika/product/f-00356/","TOYOTA","","10/10/2013","19/12/2015","Simple Product","Catalog &#038; Search","No","No","No","150","","","","0","kg","0","cm","0","cm","0","cm","Сальники рулевых реек","","","","","","","","","Yes","62","In Stock","No","No","","","","","","Publish","Open","17*29*8","P11036","1РМA","","","","",""
