"Product SKU","Product Name","Price","Quantity","size","tip"
"T473210","T473210","308","10","20.5*180*58","Пластик"
"T488310","T488310","254","10","14*178*47","Пластик"
"T488210","T488210","354","10","12*145*44","Пластик"
"T488410","T488410","326","10","14*169*48","Пластик"
"T488110","T488110","792","10","14*192*55.5","Пластик"
"T488910","T488910","334","10","12*155*41","Пластик"
"T489910","T489910","316","10","14*195*56","Пластик"
"444610","444610","416","10","12*153*53","Резина"
"444310","444310","450","10","29*170*37","Резина"
"1519007","1519007","346","10","13*155*56.5","Пластик"
"1519013","1519013","340","10","12*165*49","Пластик"
"445110","445110","382","10","11*195*39","Резина"
"","4567","","","",""
"444510","444510","366","10","39*165*45","Резина"
"1532003","1532003","334","10","15.5*170*51","Пластик"
"1532001","1532001","336","10","12.5*162*50.5","Пластик"
"1531005","1531005","358","10","13.5*203*63.5","Пластик"
"447410","447410","232","10","10*225*36","Резина"
"447510","447510","346","10","10*170*36","Резина"
"447320","447320","420","10","10*150*44","Резина"
"1546013","1546013","356","10","15.5*199*52","Пластик"
"453810","453810","194","10","12*190*47","Резина"
"441510","441510","376","10","10*190*32","Резина"
"453710","453710","284","10","13*175*44","Резина"
"453720","453720","274","10","13*190*49","Резина"
"1546017","1546017","354","10","13.5*180*51","Пластик"
"T492610","T492610","344","10","12*185*36.5","Пластик"
"T492810","T492810","320","10","12*165*42","Пластик"
"T492910","T492910","336","10","13*190*49","Пластик"
"T492710","T492710","326","10","13*180*47","Пластик"
"T493010","T493010","126","10","13.5*218*56","Пластик"
"T493112","T493112","930","10","24*202*48","Пластик"
"1526005","1526005","346","10","13,5*185*52","Пластик"
"447010","447010","172","10","11*220*48","Резина"
"447110","447110","294","10","11*138*51","Резина"
"1531001","1531001","328","10","12*196*52.5","Пластик"
"1531003","1531003","342","10","14.5*163*51","Пластик"
"447310","447310","442","10","10*170*32","Резина"
"471210","471210","318","10","10*155*37","Резина"
"471110","471110","302","10","10*155*27.5","Резина"
"471000","471000","420","10","10*177*33","Резина"
"471010","471010","478","10","9.5*143*44","Резина"
"464910","464910","232","10","10*178*49","Резина"
"465310","465310","164","10","14*158*48","Резина"
"463820","463820","372","10","45*180*45","Резина"
"T497310","T497310","318","10","11.5*168*39","Пластик"
"T497420","T497420","336","10","12.5*170*51.5","Пластик"
"T497410","T497410","326","10","12*182*44","Пластик"
"T497510","T497510","320","10","15*188*47","Пластик"
