"Order Items: Product ID","Order Items: Variation ID","Order Items: SKU","Order Items: Product Name","Order Items: Quantity","Order Items: Total"
"2619","","34","F-00182","1","30"
"2628","","43","F-00183","1","30"
"2851","","266","F-00195","1","60"
"3028","","443","F-00243X","1","120"
"3057","","472","F-00243X1","1","120"
"2959","","374","F-00243XX","1","120"
"3083","","498","F-00245M","1","90"
"3082","","497","F-00245","1","90"
"3368","","783","F-00268A","1","90"
"3071","","486","F-00311","1","60"
"3388","","803","F-00319","1","60"
"3410","","825","F-00394","1","60"
"3461","","876","F-00433A","1","90"
"3417","","832","F-00434","1","60"
"3097","","512","F-00467","1","90"
"3036","","451","F-00467X","1","120"
"3400","","815","F-00479","1","60"
"2650","","65","F-00484","1","30"
"2638","","53","F-00484X","2","180"
"3098","","513","F-00485","1","90"
"3032","","447","F-00485X","1","120"
"3392","","807","F-00487","1","60"
"2737","","152","F-00493","1","60"
"3085","","500","F-00530","1","60"
"2639","","54","F-00561X","1","90"
"2725","","140","F-00659","1","90"
"3371","","786","F-00847","1","90"
"3310","","725","F-00847X","1","120"
"2947","","362","F-00966","1","90"
"2890","","305","F-00966X","1","120"
"2646","","61","F-00993X","1","30"
"2663","","78","F-01072","1","30"
"2675","","90","F-01105","1","30"
"2668","","83","F-00039","5","150"
"2870","","285","F-00296","5","300"
"3207","","622","F-00303","1","60"
"3326","","741","F-00931","5","450"
"3083","","498","F-00245M","5","450"
"3088","","503","F-00071M","6","540"
"2865","","280","F-00118","7","420"
"3608","","1023","F-00276","5","450"
"3330","","745","F-00589X","5","600"
"3403","","818","F-00589M","5","450"
"3208","","623","F-00047","5","300"
"2872","","287","F-00820","5","300"
"3264","","679","F-00826","5","450"
"2646","","61","F-00993X","10","300"
"3176","","591","F-00255M","1","120"
"3175","","590","F-00255","4","360"
"2651","","66","F-00459","5","300"
"2607","","22","F-00606","5","150"
"3406","","821","F-00378","6","540"
"2706","","121","F-00978","11","330"
"3133","","548","F-00534M","1","90"
"3132","","547","F-00534","4","360"
"3115","","530","F-00527","5","450"
"3397","","812","F-00981","5","300"
"3402","","817","F-00589","5","450"
"2729","","144","F-00109","5","300"
"2699","","114","F-00138","5","300"
"3076","","491","F-00724","1","90"
"3021","","436","F-00135X","5","600"
"3138","","553","F-00120M","5","450"
"3285","","700","F-00101","5","300"
"3091","","506","F-01166","5","450"
"3389","","804","F-00682","5","300"
"3393","","808","F-01024","5","300"
"2675","","90","F-01105","1","30"
"3414","","829","F-00022","5","450"
"3517","","932","F-00017","5","450"
"3487","","902","F-00417X","5","600"
"2950","","365","F-01158","5","300"
"2976","","391","F-00829","5","450"
"2650","","65","F-00484","10","300"
"2659","","74","F-00366","4","120"
"2667","","82","F-01052","5","150"
"3212","","627","F-00206","5","300"
"3654","","1069","F-01037","20","1800"
"3655","","1070","F-01142","20","1800"
"3643","","1058","F-00939","20","1800"
"3644","","1059","F-00988","10","900"
"2607","","22","F-00606","7","210"
"2729","","144","F-00109","10","600"
"2870","","285","F-00296","30","1800"
"2926","","341","F-00089","20","1200"
"2958","","373","F-00445","10","900"
"2987","","402","F-00397","10","900"
"3085","","500","F-00530","10","600"
"3117","","532","F-00488","2","180"
"3423","","838","F-00546","10","900"
"2593","","8","F-00523","5","450"
"2591","","6","F-00726","5","450"
"3262","","677","F-01019","4","360"
"3415","","830","F-00057","3","270"
"3039","","454","F-00281X","3","360"
"2659","","74","F-00366","8","240"
"2704","","119","F-00681","15","450"
"2650","","65","F-00484","3","90"
"3513","","928","F-00539M","4","360"
"3093","","508","F-00243M","8","720"
"3392","","807","F-00487","6","360"
"3387","","802","F-00088","10","600"
"3375","","790","F-00847","4","360"
"3374","","789","F-00940","3","270"
"3263","","678","F-01154","4","360"
"2987","","402","F-00397","8","720"
"2652","","67","F-01140","2","60"
"2669","","84","F-00779","2","60"
"2722","","137","F-00887","2","60"
"2728","","143","F-00058","2","60"
"2658","","73","F-00484","4","120"
"2915","","330","F-00601X","2","240"
"2920","","335","F-00830X","2","240"
"2923","","338","F-00612X","1","120"
"2968","","383","F-00237","2","180"
"2976","","391","F-00476","4","360"
"2990","","405","F-00227","2","240"
"3001","","416","F-00612","1","90"
"3012","","427","F-00090","2","180"
"3018","","433","F-00717","2","180"
"3072","","487","F-00281X","2","240"
"3090","","505","F-00014X1","2","240"
"3116","","531","F-00245","2","180"
"3138","","553","F-01175","2","180"
"3157","","572","F-00094M","2","180"
"3303","","718","F-01154","1","90"
"3437","","852","F-00589","2","180"
"3333","","748","F-00589XX","2","180"
"3492","","907","F-00081","2","120"
"3503","","918","F-00062XX","1","120"
"3520","","935","F-00062X","1","120"
"3551","","966","F-00062M","6","540"
"3563","","978","F-00762","1","90"
"3650","","1065","F-00444","2","180"
"3829","","1103","F-01062","1","90"
"2662","","77","F-00740","20","600"
"3252","","667","F-00206","10","600"
"3378","","793","F-00057X","10","1200"
"3455","","870","F-00022","10","900"
"3622","","1037","F-00737X","10","1200"
"3645","","1060","F-00569","16","1440"
"3623","","1038","F-00444X","6","720"
"3649","","1064","F-00737M","6","540"
"3652","","1067","F-00880","6","540"
"3109","","524","F-00135","6","540"
"3112","","527","F-00696","6","360"
"2645","","60","F-00779X","10","600"
"2660","","75","F-00993","10","300"
"2663","","78","F-00111","20","600"
"2711","","126","F-00663X","20","1200"
"3270","","685","F-00592","10","900"
"3320","","735","F-00825X","10","1200"
"3361","","776","F-00671","10","900"
"2739","","154","F-00100A","6","360"
"2742","","157","F-00186","10","600"
"2905","","320","F-00783X","20","2400"
"3302","","717","F-01019","6","540"
"3621","","1036","F-00569X","8","960"
"2658","","73","F-00484","10","300"
"2659","","74","F-00459","5","300"
"","","-","","1",""
"3390","","805","F-01023X","6","720.00"
"3481","","896","F-01023","6","540.00"
"3378","","793","F-00057X","6","720.00"
"3456","","871","F-00057","6","540.00"
"2646","","61","F-01072X","6","360.00"
"2748","","163","F-00109","5","300.00"
"3520","","935","F-00062X","4","480.00"
"2662","","77","F-00740","30","900"
"2685","","100","F-00886","5","300"
"2756","","171","F-00531","5","300"
"2852","","267","F-00739","4","360"
"2892","","307","F-01065","10","600"
"2891","","306","F-00758","10","600"
"2889","","304","F-00036","10","600"
"2968","","383","F-00237","3","270"
"3038","","453","F-00407","10","900"
"3036","","451","F-00232","10","900"
"3283","","698","F-00952","6","540"
"3295","","710","F-00832","6","540"
"3453","","868","F-00492","6","540"
"3481","","896","F-01023","6","540"
"3415","","830","F-00940","6","540"
"3480","","895","F-00869","6","540"
"3551","","966","F-00062M","4","360"
"3580","","995","F-00719","2","180"
"3579","","994","F-00274M","2","180"
"3655","","1070","F-00276","2","180"
"3807","","1081","F-00827","2","180"
"3833","","1107","F-00451","3","270"
"2734","","149","F-00562","3","180"
"2737","","152","F-01153","3","180"
"2739","","154","F-00100A","2","120"
"3172","","587","F-00120","4","360"
"2670","","85","F-01072","4","120"
"3513","","928","F-00358","1","60"
"3423","","838","F-00751","4","360"
"3554","","969","F-00539","2","180"
"3523","","938","F-00539X","2","240"
"3650","","1065","F-00444","2","180"
"3038","","453","F-00407","4","360"
"2650","","65","F-00189","2","60"
"3326","","741","F-00408","2","120"
"3109","","524","F-00135","2","180"
