P01983,"26*38*6.5 ",0M,3471,3773,120,,,,,,
"P12287
",28*38*7/9,7V3,2606,2790,200,,,,,"HA0990,",
P02121,20*30*5/6,1РМ,7791,10547,90,,,,,,,",F-00663,F-00558,F-01159,F-00297,F-00978,F-00887,F-00681",+2274+724+633+476+397+386+364
P03602,"27.7*38*8 ",7V1,2871,3406,250,,,,,,,",F-00765",+545
P08962,19*29*4.5/5,1РМ,1990,5231,90,,,,,,
P05604,19*32*6/7,1РМ,5808,5833,90,,,,,,,",F-00403,F-01072,F-00600,F-00779",+1332+891+846+823
P02884,"27*44*8.5 ",7V1,1678,904,250,,,,,,
P07151,20*42.5*7/7.8,1РМ,1627,1255,120,,,,,,
P09476,20.6*41.2*6.3,0M,1878,2077,120,,,,,,,",F-00720,F-00667",+221+108
P02120,"19*30*5/6.5 ",1РМ,2637,3488,90,,,,,,,",F-00740",+1157
P05710,19*34.6*6.2/9.2,1РМ,2402,2682,90,,,,,,,",F-00037,F-00868",+766+171
P09852,25*37.8*6.5,7V1,2813,2586,250,,,,,,,",F-00653,F-01175",+1107+502
P01988,27*38*5.5,0M,1212,1654,120,,,,,,,",3756",+10
P09239,"25*41.5*7.5 ",7V2,1145,1142,250,,,,,,
P05390,28*47*4.2/5,0M,1111,2600,120,,,,,,
P11214,18.75*30*5/5.5,1РМ,2738,2893,90,,,,,,,",F-00189,F-01140",+1038+591
P02883,27*41*8.5,7V1,1699,1636,250,,,,,,,",F-00877",+663
P03621,26*45*8.5,7V1,2119,2374,250,,,,,,,",F-00832,F-00259M",+717+379
P03875,28*37.6*6,0M,1450,1791,120,,,,,,,",F-00487,F-01024",+249+209
P10598,23.3*30*4/6.7,4V2,1945,3219,120,,,,,,,",F-00086,F-00130",+560+408
P08464,28*39*15,6V2MA,1892,1712,250,,,,,,,",F-00754",+937
P10673,25*38*7,0M,935,1071,120,,,,,,
P00001,"24*41*8.5 ",7V1,1116,830,250,,,,,,,",F-00515",+188
